sample	DNA_isolation_method	sample_name	sample_nr	GS_name	bamfile	project	db	Vregion	platform	workflow	mapq.filt	method	GS_version	rank	R2
V1.V9_ONT_minitax_EMUdb_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.544849877916471
V1.V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	Q	Q1	1	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q1_bc12_bc01_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.498556742072451
V1.V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	Q	Q2	2	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q2_bc13_bc02_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.428173971805286
V1.V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	Q	Q3	3	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q3_bc14_bc03_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.420105990469668
V1.V9_ONT_minitax_EMUdb_RandAln_Z1_D6331	Z	Z1	1	NA	GUTMCM_minion_v1_9_20240516_zymo_Z1_bc01_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.534310691753239
V1.V9_ONT_minitax_EMUdb_RandAln_Z2_D6331	Z	Z2	2	NA	GUTMCM_minion_v1_9_20240516_zymo_Z2_bc02_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.477543524466836
V1.V9_ONT_minitax_EMUdb_RandAln_Z3_D6331	Z	Z3	3	NA	GUTMCM_minion_v1_9_20240516_zymo_Z3_bc03_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.493598097111852
V1.V9_ONT_minitax_EMUdb_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.361973658099605
V1.V9_ONT_minitax_EMUdb_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.382899660364145
V1.V9_ONT_minitax_EMUdb_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.36648285516784
V1.V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.553778711905301
V1.V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.490642019978662
V1.V9_ONT_minitax_EMUdb_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.54971435689087
V1.V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	Q	Q1	1	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q1_bc12_bc01_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.532971944566771
V1.V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	Q	Q2	2	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q2_bc13_bc02_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.470141561152952
V1.V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	Q	Q3	3	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q3_bc14_bc03_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.465050908933637
V1.V9_ONT_minitax_EMUdb_RandAln_Z1_D6331	Z	Z1	1	NA	GUTMCM_minion_v1_9_20240516_zymo_Z1_bc01_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.520455165853684
V1.V9_ONT_minitax_EMUdb_RandAln_Z2_D6331	Z	Z2	2	NA	GUTMCM_minion_v1_9_20240516_zymo_Z2_bc02_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.495470304954246
V1.V9_ONT_minitax_EMUdb_RandAln_Z3_D6331	Z	Z3	3	NA	GUTMCM_minion_v1_9_20240516_zymo_Z3_bc03_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.504490355335135
V1.V9_ONT_minitax_EMUdb_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.391486968670495
V1.V9_ONT_minitax_EMUdb_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.411249558481019
V1.V9_ONT_minitax_EMUdb_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.394197978750501
V1.V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.574892373450821
V1.V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.512080886480523
V1.V9_ONT_minitax_EMUdb_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.574466985601905
V1.V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	Q	Q1	1	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q1_bc12_bc01_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.553328103541697
V1.V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	Q	Q2	2	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q2_bc13_bc02_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.492681145315804
V1.V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	Q	Q3	3	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q3_bc14_bc03_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.487004099891179
V1.V9_ONT_minitax_EMUdb_RandAln_Z1_D6331	Z	Z1	1	NA	GUTMCM_minion_v1_9_20240516_zymo_Z1_bc01_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.543122172439002
V1.V9_ONT_minitax_EMUdb_RandAln_Z2_D6331	Z	Z2	2	NA	GUTMCM_minion_v1_9_20240516_zymo_Z2_bc02_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.517853298001626
V1.V9_ONT_minitax_EMUdb_RandAln_Z3_D6331	Z	Z3	3	NA	GUTMCM_minion_v1_9_20240516_zymo_Z3_bc03_pass.bam	tech.review.gut	EMUdb	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.527137789332991
