species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300
Bacillus filamentosus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	1	0	0	1	5	1	1
Bacillus gibsonii	0	0	0	0	55	52	58	50	76	83	31	72	72	67	103	10	13	31	9	20	16	20	17	47	29	18	35	37	47	36	57	11	43	25	37
Bacillus glycinifermentans	0	0	0	0	0	1	0	1	0	0	0	1	4	0	0	2	0	1	0	0	0	0	0	39	28	30	35	49	53	43	64	11	38	31	44
Bacillus halotolerans	0	0	0	0	1536	1782	1762	2116	2837	2792	1421	2942	3270	1948	3778	500	381	862	411	550	574	698	590	431	409	376	494	719	826	556	904	295	614	451	699
Bacillus licheniformis	0	0	0	0	0	1	1	0	1	0	0	1	2	1	3	0	1	0	0	0	1	0	0	84	132	131	156	211	220	184	235	96	209	146	242
Bacillus mesophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	7	9	11	14	8	10	9	7	19	11	3
Bacillus mojavensis	0	0	0	0	237	250	275	327	402	398	224	641	507	309	528	71	59	113	53	100	72	106	73	74	71	61	91	134	163	103	171	61	91	67	132
Bacillus nakamurai	0	0	0	0	1	0	1	0	2	2	1	5	0	1	2	0	0	0	0	0	0	1	0	4	1	1	6	6	0	8	2	1	5	6	0
Bacillus nematocida	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	8	4	0	16	19	9	15	9	6	19	6	7
Bacillus oleronius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	2	0	6	0	1	1	1
Bacillus paralicheniformis	0	0	0	0	0	0	0	1	0	0	0	3	7	0	0	1	0	0	0	0	0	0	0	83	57	35	94	96	101	63	132	41	62	41	86
Bacillus siamensis	0	0	0	0	0	1	0	0	1	3	0	0	1	1	0	0	0	0	0	0	1	1	0	19	7	12	28	26	26	19	32	10	30	15	19
Bacillus sp. 1s-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	1	3	1	1	0	0
Bacillus sp. 275	0	0	0	0	0	1	0	2	0	1	1	2	4	1	1	0	0	0	0	0	0	0	0	6	9	8	8	9	12	10	17	5	18	1	10
Bacillus sp. BH072	0	0	0	0	3	0	0	2	1	0	1	1	2	2	1	1	0	0	0	0	0	0	0	39	22	20	45	38	45	25	54	19	36	24	28
Bacillus sp. BS34A	0	0	0	0	10	11	16	19	13	17	17	15	25	14	26	6	2	8	2	9	5	5	0	37	26	30	50	47	59	31	74	18	57	32	52
Bacillus sp. DM2	0	0	0	0	1	1	4	7	6	6	3	4	9	2	7	1	1	1	0	3	0	2	0	28	17	18	17	27	37	20	51	11	30	13	37
Bacillus sp. FJAT-14266	0	0	0	0	17	24	31	40	34	46	15	28	45	23	52	11	2	10	6	3	12	10	7	39	31	16	28	48	51	34	45	18	32	19	33
Bacillus sp. JS	0	0	0	0	55	65	59	50	92	84	40	55	93	61	105	23	6	20	11	18	18	23	17	767	698	567	828	1161	1376	902	1634	483	1063	675	1170
Bacillus sp. KBS0812	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	7	2	0	8	8	7	2	4	4	5	4	9
Bacillus sp. LM 4-2	0	0	0	0	2	2	1	1	3	1	1	1	1	1	2	0	0	1	0	0	1	0	0	24	7	4	12	26	17	14	19	6	18	8	14
Bacillus sp. Lzh-5	0	0	0	0	6	8	2	11	12	10	5	12	10	7	11	0	1	5	0	1	3	1	0	54	28	20	42	52	56	25	67	16	36	27	48
Bacillus sp. M4U3P1	0	0	0	0	7	3	4	6	6	4	2	7	15	6	3	0	0	0	0	0	1	1	1	37	33	23	37	49	57	42	68	26	49	29	54
Bacillus sp. MD-5	0	0	0	0	0	1	1	1	1	1	0	1	0	0	5	0	0	0	0	1	0	0	0	162	164	124	188	248	307	193	329	126	214	167	241
Bacillus sp. Pc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	3	6	6	5	4	8	1	4	3	5
Bacillus sp. SDLI1	0	0	0	0	1	1	0	1	0	0	0	1	2	2	1	0	1	0	0	0	0	0	0	33	17	17	35	39	39	13	35	13	43	14	20
Bacillus sp. SJ-10	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	18	12	30	24	35	20	48	12	24	12	17
Bacillus sp. WR11	0	0	0	0	0	1	4	3	2	1	0	0	3	2	0	0	1	0	2	1	0	1	0	26	23	23	38	49	50	40	71	22	35	28	50
Bacillus sp. YP1	0	0	0	0	1	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	24	17	9	23	30	32	10	32	10	22	11	16
Bacillus sp. ZY-1-1	0	0	0	0	3	3	5	10	3	3	7	4	10	3	5	1	0	2	1	4	0	2	1	14	10	5	8	12	10	10	11	1	15	2	6
Bacillus subtilis	1740000	1740000	1740000	1740000	4705	5395	5578	5852	8248	7989	4053	6832	7808	5900	10547	1177	1055	2212	1159	1485	1470	1896	1697	5701	5041	4211	6135	8385	9650	6386	11024	3482	7759	4966	8255
Bacillus swezeyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	3	7	2	6	5	1	3	1	0
Bacillus tequilensis	0	0	0	0	0	7	5	4	10	4	3	2	1	2	9	0	2	0	0	1	2	1	2	2	5	7	7	8	9	14	11	0	12	4	11
Bacillus thuringiensis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	491	1026	777	861	1264	1477	1146	1738	539	1081	791	1631
Bacillus vallismortis	0	0	0	0	30	31	40	45	63	71	49	414	62	35	65	4	8	16	4	10	10	16	9	845	827	652	950	1350	1619	1075	1827	576	1255	802	1399
Bacillus velezensis	0	0	0	0	117	108	119	165	170	154	73	114	276	133	212	41	22	55	32	35	52	44	41	2127	1665	1263	2248	2862	3010	2185	3579	1210	2548	1624	2585
Brevibacillus laterosporus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	85	82	81	139	108	149	178	78	126	85	130
Campylobacter helveticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	4	1	1	0	1
Candidatus Sodalis pierantonius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	5	24	11	9	11	7	8	11	7	8
Citrobacter amalonaticus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	620	400	2112	1962	1792	1923	1861	1264	1359	889	1728
Citrobacter braakii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	10	10	11	3	7	8	4	2	8
Citrobacter farmeri	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	27	11	72	60	49	62	52	48	40	25	45
Citrobacter freundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	7	15	33	36	23	31	32	31	25	33	29
Citrobacter freundii complex sp. CFNIH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	14	12	77	71	37	77	35	34	47	25	44
Citrobacter koseri	0	0	0	0	1	0	1	15	5	13	0	1	26	1	0	0	0	0	0	2	2	0	1	62	51	33	220	186	131	217	138	143	117	89	176
Citrobacter rodentium	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	65	40	23	225	203	130	183	162	99	132	82	141
Citrobacter sedlakii	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	28	29	150	120	114	99	110	79	90	49	115
Citrobacter sp. CFNIH10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	17	15	12	57	44	29	35	39	27	31	20	37
Citrobacter sp. NMI7904_11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	10	2	25	28	18	25	17	10	14	14	15
Citrobacter sp. SNU WT2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	3	2	1	1	1	1
Citrobacter youngae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	4	5	0	8	3	5	3	1	3
Clostridium botulinum	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	58	75	63	72	129	109	86	131	52	84	58	113
Cronobacter dublinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	2	0	1	2	1
Cronobacter malonaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	4	2	4	0	5	2	4	1
Cronobacter muytjensii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	11	1	25	23	23	28	27	17	16	9	17
Cronobacter sakazakii	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	14	4	6	49	41	11	37	13	30	24	16	19
Cronobacter universalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	3	2	3	2	0	3	1	2
Enterobacter bugandensis	0	0	0	0	1	1	0	0	0	2	0	0	1	1	1	1	0	0	0	0	0	0	1	3	1	1	4	11	11	8	3	2	3	0	8
Enterobacter cloacae	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	66	48	40	214	203	144	191	174	118	134	84	152
Enterobacter cloacae complex sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	11	7	6	11	7	4	8	4
Enterobacter hormaechei	0	0	0	0	4	2	3	12	1	2	1	4	1	0	2	1	0	0	2	3	1	1	0	289	178	108	985	864	625	719	719	467	478	362	446
Enterobacter kobei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	4	58	40	36	28	49	21	35	14	36
Enterobacter ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7	6	46	59	26	35	22	38	34	28	17
Enterobacter mori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	23	9	97	80	58	48	74	50	53	54	28
Enterobacter oligotrophica	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	2	2	3	0	0	1	0	3
Enterobacter roggenkampii	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	2	32	34	6	52	13	22	33	21	10
Enterobacter sp. Crenshaw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	1	2	1	1
Enterobacter sp. CRENT-193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	1	33	21	25	19	18	15	14	11	18
Enterobacter sp. E76	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	2	2	2	1	3	1	1	3
Enterobacter sp. EA-1	0	0	0	0	1	1	1	8	1	7	2	4	4	2	5	0	0	0	2	2	1	0	1	0	0	0	1	4	0	2	3	2	3	3	1
Enterobacteriaceae bacterium ENNIH1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	9	3	4	5	2	6	3	5	0
Enterococcus asini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	23	16	10	13	8	2	5	1	12	13	4
Enterococcus avium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	11	18	5	10	3	4	5	3	8	6	7
Enterococcus canintestini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	7	4	6	7	3	3	0	5	6	9
Enterococcus canis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	15	28	8	9	8	4	2	0	16	13	9
Enterococcus casseliflavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	19	20	6	8	4	3	6	1	12	3	7
Enterococcus dispar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	28	22	13	21	10	6	5	3	15	23	16
Enterococcus durans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	83	86	41	39	25	15	20	8	74	54	54
Enterococcus faecalis	990000	990000	990000	990000	9228	10024	10301	4496	6674	1803	878	1231	8116	6572	4142	2537	2346	977	522	220	334	1503	1214	6454	5524	4328	2826	3929	2390	833	1474	437	4806	3132	2765
Enterococcus faecium	0	0	0	0	3	0	2	0	0	0	0	0	5	2	3	0	0	1	0	0	1	0	1	881	1555	1425	557	919	528	233	334	138	1208	750	888
Enterococcus gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	32	32	6	13	8	1	6	2	16	6	11
Enterococcus haemoperoxidus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	2	0	2	0	1	1	2	4	4	0
Enterococcus hirae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	73	59	33	48	37	12	24	8	54	32	43
Enterococcus malodoratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	4	1	3	2	0	0	0	3	0	1
Enterococcus mundtii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	102	81	29	45	38	14	14	5	67	42	59
Enterococcus pallens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	6	2	0	1	1	1	0	5	0	0
Enterococcus phoeniculicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	23	18	8	14	6	0	1	1	11	12	14
Enterococcus pseudoavium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	3	6	1	0	2	0	7	0	3
Enterococcus raffinosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	1	2	0	1	1	0	0	1	1
Enterococcus saccharolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	58	54	24	25	20	5	19	3	51	26	27
Enterococcus sp. CR-Ec1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	12	1	6	2	1	2	1	2	4	3
Enterococcus sp. FDAARGOS_375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	7	4	2	1	3	1	0	5	3	4
Enterococcus sp. FDAARGOS_553	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	9	17	4	5	3	1	2	2	9	5	6
Enterococcus sulfureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	120	106	27	36	25	12	17	5	56	52	47
Enterococcus thailandicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	24	18	10	17	7	5	3	4	16	16	14
Erwinia sp. Ejp617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	36	32	111	164	102	178	143	122	108	67	139
Escherichia albertii	0	0	0	0	4	5	5	34	19	22	10	8	26	4	10	4	3	0	2	12	5	1	3	176	125	74	563	518	352	473	455	310	375	223	344
Escherichia coli	1010000	1010000	1010000	1010000	5861	6579	7005	22343	19472	23996	17525	22406	15843	13180	18456	1411	1291	4204	5202	4327	4069	4156	4338	5062	3705	2097	16062	14091	11287	13446	12255	9026	10388	6697	9734
Escherichia fergusonii	0	0	0	0	37	32	34	264	150	164	108	102	278	67	85	12	3	25	33	58	34	24	17	77	40	23	248	212	163	176	202	105	125	79	142
Escherichia marmotae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	6	4	3	3	3	2	2
Escherichia sp. E4742	0	0	0	0	1	0	0	4	3	0	2	3	0	1	1	1	0	0	0	0	2	0	2	11	4	4	33	20	16	19	29	26	17	6	24
Franconibacter pulveris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	7	2	4	3	2	0	6	1
Gemella sp. oral taxon 928	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	3	0	1	0	0	0	2
Geobacillus thermoleovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	371	357	325	500	615	448	728	225	407	298	695
Gracilibacillus dipsosauri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	0	0	2	0	1	0	1	2	1
Halolactibacillus halophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	4	2	1	0	3	2	1	1	2
Izhakiella capsodis	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	8	10	2	21	30	18	31	31	16	18	7	25
Klebsiella aerogenes	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	1	8	13	8	4	12	5	5	2	4
Klebsiella michiganensis	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	5	5	3	13	14	6	14	11	23	16	12	12
Klebsiella oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	8	44	38	19	48	24	30	29	14	24
Klebsiella pneumoniae	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	1	0	0	0	1	1	0	0	521	874	550	2488	2715	2122	3133	2349	2108	1971	1357	2468
Klebsiella quasipneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	39	19	250	153	144	123	132	83	128	49	85
Klebsiella quasivariicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	3	1	0	1	1	2	2
Klebsiella sp. LTGPAF-6F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	1	3	2	1	0
Klebsiella variicola	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	19	7	3	45	48	23	36	23	27	30	14	18
Kosakonia cowanii	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	8	4	1	29	17	15	29	17	16	14	14	10
Kosakonia oryziphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	3	39	29	33	39	33	20	21	19	28
Kosakonia radicincitans	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	10	12	5	13	7	12	10	5	2
Kosakonia sacchari	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	5	3	2	3	2	5	3	1	5
Kosakonia sp. CCTCC M2018092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	4	1	19	21	9	10	9	7	8	8	9
Laceyella sacchari	0	0	0	0	334	385	383	470	467	460	320	441	372	361	449	95	92	140	122	107	97	104	119	4	2	4	8	10	7	8	13	7	7	9	9
Lactiplantibacillus plantarum	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	7	3	2	0	0	0	0	6	1	1
Lactobacillus equigenerosi	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	11	7	3	3	6	1	1	0	6	2	3
Lactobacillus gastricus	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	32	10	8	4	6	1	1	3	1	8	2	3
Lactobacillus helveticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	31	10	5	6	2	1	1	2	0	6	3	1
Lactobacillus mucosae	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	54	49	21	15	7	4	5	2	27	11	9
