sample	DNA_isolation_method	sample_name	sample_nr	GS_name	bamfile	project	db	Vregion	platform	workflow	mapq.filt	method	GS_version	rank	R2
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z2_D6331	Z	Z2	2	NA	GUTMCM_minion_v1_9_20240516_zymo_Z2_bc02_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.778504897663062
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z3_D6331	Z	Z3	3	NA	GUTMCM_minion_v1_9_20240516_zymo_Z3_bc03_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.865475245165004
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.613372349390381
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.557724729430324
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.683943096093271
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.596742353792913
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.500520633817907
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.580257240846449
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q1_D6331	Q	Q1	1	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q1_bc12_bc01_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.530745652954569
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q2_D6331	Q	Q2	2	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q2_bc13_bc02_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.466273632108557
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q3_D6331	Q	Q3	3	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q3_bc14_bc03_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.466501559886161
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z1_D6331	Z	Z1	1	NA	GUTMCM_minion_v1_9_20240516_zymo_Z1_bc01_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.566186801073741
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z2_D6331	Z	Z2	2	NA	GUTMCM_minion_v1_9_20240516_zymo_Z2_bc02_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.513448486831701
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z3_D6331	Z	Z3	3	NA	GUTMCM_minion_v1_9_20240516_zymo_Z3_bc03_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	order	0.527807233021706
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.381757846961279
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.41690942693314
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.374516443607488
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.461970716893144
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.415450419125043
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.448964415919728
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q1_D6331	Q	Q1	1	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q1_bc12_bc01_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.436692582722596
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q2_D6331	Q	Q2	2	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q2_bc13_bc02_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.402338525495738
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q3_D6331	Q	Q3	3	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q3_bc14_bc03_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.394773421868386
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z1_D6331	Z	Z1	1	NA	GUTMCM_minion_v1_9_20240516_zymo_Z1_bc01_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.435075560125867
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z2_D6331	Z	Z2	2	NA	GUTMCM_minion_v1_9_20240516_zymo_Z2_bc02_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.414749771073378
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z3_D6331	Z	Z3	3	NA	GUTMCM_minion_v1_9_20240516_zymo_Z3_bc03_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	genus	0.42056600821645
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.328155708695107
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.370958360493239
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.323962919596823
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.496582951328897
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.470444570867355
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.495314531067737
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q1_D6331	Q	Q1	1	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q1_bc12_bc01_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.457652589097782
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q2_D6331	Q	Q2	2	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q2_bc13_bc02_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.461298853648246
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q3_D6331	Q	Q3	3	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q3_bc14_bc03_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.424371210125882
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z1_D6331	Z	Z1	1	NA	GUTMCM_minion_v1_9_20240516_zymo_Z1_bc01_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.452340771066624
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z2_D6331	Z	Z2	2	NA	GUTMCM_minion_v1_9_20240516_zymo_Z2_bc02_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.458189805230575
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z3_D6331	Z	Z3	3	NA	GUTMCM_minion_v1_9_20240516_zymo_Z3_bc03_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	species	0.437655780870673
