species	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_EMU_EMUdb__Z1_D6331	V1.V9_ONT_EMU_EMUdb__Z2_D6331	V1.V9_ONT_EMU_EMUdb__Z3_D6331	V1.V9_ONT_EMU_EMUdb__Q1_D6331	V1.V9_ONT_EMU_EMUdb__Q2_D6331	V1.V9_ONT_EMU_EMUdb__Q3_D6331	V1.V9_ONT_EMU_EMUdb__I1_D6331	V1.V9_ONT_EMU_EMUdb__I2_D6331	V1.V9_ONT_EMU_EMUdb__I3_D6331	V1.V9_ONT_EMU_EMUdb__MN1_D6331	V1.V9_ONT_EMU_EMUdb__MN2_D6331	V1.V9_ONT_EMU_EMUdb__MN3_D6331
Clostridium perfringens	20	20	20	20	59.0392728317538	0	0	0	0	0	19.0046424935267	36.0122794323291	18.0012694897046	0	0	0
Crinalium epipsammum	0	0	0	0	33.0098009679177	0	0	0	0	0	0	0	0	0	0	0
Enterococcus faecalis	90	90	90	90	0	0	0	0	0	0	46.0029515248687	44.0034317685823	62.0043726823021	20.0016463376889	14.0010443228685	0
Escherichia coli	1212000	1212000	1212000	1212000	130805.835478748	166545.760704367	124691.515230108	736.615595912399	974.36773724567	855.477565780115	71315.1505670275	64520.0471770432	64464.6165985503	480090.20196852	586086.660709442	407233.383567119
Escherichia fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2541428326696	0	0
Faecalibacterium prausnitzii	1763000	1763000	1763000	1763000	87261.7782281136	96063.0045923696	77969.7437860205	481.71046868239	547.237850264601	448.824489795918	170770.74364119	230301.756381475	159766.701003185	338032.270725499	342119.3657075	254559.952847739
Faecalimonas umbilicata	0	0	0	0	30.0091697027721	0	18.1107133555604	0	0	0	0	0	0	0	0	0
Fusobacterium nucleatum	749000	749000	749000	749000	14347.4315303275	10578.7927256502	14332.5368750687	61.2173719376392	46.1700903861956	48.1959183673469	11557.538438424	12732.0411436308	11762.1149527495	24052.4369642502	17492.7784127646	46473.014638363
Hydrogenoanaerobacterium saccharovorans	0	0	0	0	0	12.001087675427	0	0	0	0	17.4535486248305	23.7013014557909	18.001434630846	35.8434069256682	38.4179324819808	32.1524450738178
Laceyella sacchari	0	0	0	0	826.486806731533	792.501187902854	697.92152067263	0	0	0	1805.71993024341	1737.42330150006	1945.93944705811	2212.88557567849	2096.11981110828	1747.46795646554
Lactiplantibacillus plantarum	0	0	0	0	0	0	0	0	0	0	25.8092168284688	29.1892515143384	20.7523398786005	0	0	0
Lactobacillus animalis	0	0	0	0	45.0132953483746	0	0	0	0	0	0	0	0	0	0	0
Limosilactobacillus fermentum	963000	963000	963000	963000	907.287489655827	872.074701409222	1053.22830631038	11.0391982182628	0	0	411911.429485534	465748.165687657	318363.001381894	12460.8723534512	12454.7949698613	9136.71501681006
Megamonas rupellensis	0	0	0	0	23.0068309776396	0	28.0061600089833	0	0	0	0	0	0	0	0	0
Methanobrevibacter smithii	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus turicensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2720038982492	13.6027263453945
Peptacetobacter hiranonis	0	0	0	0	99.4348414721937	0	42.0092825754153	0	0	0	0	0	0	0	0	0
Prevotella corporis	498000	498000	498000	498000	10302.4914764834	6066.49727362406	8032.73638076186	55.195991091314	21.0776499589154	31.1265306122449	2487.14340163146	1724.43173103704	2097.14788286669	34161.4337997532	12829.9144125896	35583.4956018514
Rheinheimera riviphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3715235636281	0
Roseburia hominis	989000	989000	989000	989000	16041.9060204245	13857.3432949035	15102.1115336159	55.1959850866921	47.1737880032868	46.1877551020408	405301.593435153	328895.358926138	489533.03032995	59936.2164244175	54439.092468683	41665.2984938128
Salmonella enterica	900	900	900	900	180.851232947551	205.987095667879	132.234532923811	0	0	0	37.8586505178365	39.1798743399476	45.3135092891762	545.739171082513	663.032260866875	536.906785152449
Shigella boydii	0	0	0	0	23.6842097334697	22.6188402426385	27.529987939934	0	0	0	34.6088657132677	28.1369632979735	36.614428968778	76.5933748357151	123.887757371038	66.2718765382921
Shigella dysenteriae	0	0	0	0	304.924849713942	328.110972239705	254.468564268367	0	0	0	160.13433665618	137.326529928548	187.310897251385	573.826927776298	625.144135231327	561.090182947347
Shigella flexneri	0	0	0	0	25.2614735944243	10.8927102212367	22.3779313829814	0	0	0	58.2227036142192	36.2759279039009	34.7570281042686	63.9651256867757	49.4677829255603	60.9845246797566
Shigella sonnei	0	0	0	0	10.0527711739249	0	0	0	0	0	20.9902570729812	0	0	28.4112613026869	43.3167008981742	19.8285856745531
Staphylococcus epidermidis	0	0	0	0	0	0	0	0	0	0	26.0017866450476	24.0018718737721	40.0028210853562	0	0	0
Streptococcus equinus	0	0	0	0	190.814275329399	0	48.4976542487291	0	0	0	0	0	0	0	0	0
Streptococcus infantarius	0	0	0	0	18.5268226744969	0	0	0	0	0	0	0	0	0	0	0
Streptococcus lutetiensis	0	0	0	0	161.76915824346	0	48.5236857823918	0	0	0	0	0	0	0	0	0
Terrabacter lapilli	0	0	0	0	0	0	0	0	0	0	16.5381319690369	23.9529742700936	0	19.1766113811562	27.76798729593	0
Turicibacter sp. H121	0	0	0	0	41.0121769601402	0	0	0	0	0	0	0	0	0	0	0
Veillonella rogosae	1587000	1587000	1587000	1587000	158776.318946954	139881.815897697	153045.901978788	692.458796643686	645.377567789647	827.344045758784	285410.346092868	247299.998635007	361770.530286377	436481.133804939	400960.927983704	310673.408979307
