species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300
Anabaena sp. MDT14b	0	0	0	0	2	2	1	0	0	1	1	0	0	2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Anoxybacillus ayderensis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	2	1	2
Aphanizomenon flos-aquae	0	0	0	0	1	0	0	2	0	2	1	2	1	2	1	2	0	0	0	0	0	0	0	1	1	0	0	3	0	0	3	0	1	1	1
Atlantibacter hermannii	0	0	0	0	2	2	2	15	2	6	1	6	7	3	4	0	0	2	6	4	1	2	0	1	0	0	7	4	1	1	2	1	2	1	2
Bacillaceae bacterium SAS-127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	3	7	7	11	7	9	2	7	2	7
Bacilli bacterium	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	15	18	3	8	13	18	11	7	5	9	4	14
Bacilli bacterium VT-13-104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	2	6	5	3	3	2	1	3	4	4
Bacillus altitudinis	0	0	0	0	1	0	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	13	5	1	8	4	6	8	12	4	6	3	8
Bacillus amyloliquefaciens	0	0	0	0	2	0	1	6	1	4	2	1	13	0	2	1	0	0	0	3	0	1	2	296	246	200	323	435	469	370	595	149	369	242	431
Bacillus atrophaeus	0	0	0	0	7	13	9	42	26	23	9	23	111	19	24	10	1	5	2	5	6	6	5	1421	1404	1174	1624	2329	2701	1827	2885	1006	2094	1357	2454
Bacillus cereus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19	5	0	6	8	6	2	6	2	6	1	7
Bacillus coahuilensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	2	3	4	2	1	5	2	2	1	0
Bacillus enclensis	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	2
Bacillus glycinifermentans	0	0	0	0	1	0	0	0	2	1	1	0	10	1	0	2	0	0	0	0	0	2	0	142	137	96	154	223	223	152	247	87	202	111	206
Bacillus haynesii	0	0	0	0	1	2	4	48	20	29	6	11	82	6	16	4	2	2	7	16	6	5	9	14	14	4	5	11	0	1	8	2	4	1	5
Bacillus nakamurai	0	0	0	0	12	10	13	24	19	28	11	16	32	15	30	1	3	6	3	3	2	4	5	25	7	1	37	43	7	38	14	25	40	23	6
Bacillus paralicheniformis	0	0	0	0	0	0	0	3	2	2	0	1	8	0	0	0	0	0	0	1	0	0	0	151	155	124	189	227	221	175	283	88	208	113	208
Bacillus siamensis	0	0	0	0	0	1	2	6	4	5	2	6	10	2	12	2	0	4	1	0	1	0	1	326	323	236	414	539	582	387	678	225	498	310	527
Bacillus sp. 2_A_57_CT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	5	6	4	3	3	4	1	7	2	3
Bacillus sp. 5B6	0	0	0	0	78	92	125	190	147	173	56	99	287	117	184	42	18	47	31	50	29	30	30	94	106	85	130	154	167	147	175	59	153	74	189
Bacillus sp. 7520-S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	3	1	0	1	0	0	0	0
Bacillus sp. 7586-K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	2	1	0	1	1	0	2	0
Bacillus sp. A053	0	0	0	0	136	154	153	134	217	223	119	159	203	148	321	26	32	72	17	42	45	45	55	1021	924	778	1149	1655	1853	1270	2169	736	1473	942	1585
Bacillus sp. AFS040349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	3	1	1	0	3
Bacillus sp. AFS043905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	1	1	1	0	2
Bacillus sp. AFS073361	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	8	5	2	4	18	3	28	4	2
Bacillus sp. AM 13(2015)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	22	9	8	8	21	19	18	18	5	12	5	19
Bacillus sp. B25(2016b)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	1	0	5	3	0	5	0	3	2	1
Bacillus sp. BA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	1	7	3	4	1	0	2	3
Bacillus sp. BT1B_CT2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	1	0	1	1	5	1	0
Bacillus sp. CJCL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	2	3	2	0	0
Bacillus sp. CMAA 1185	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	41	36	32	45	58	61	51	61	29	67	39	54
Bacillus sp. CPSM8	0	0	0	0	0	0	0	2	2	2	0	0	2	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus sp. DM2	0	0	0	0	42	49	50	72	64	77	40	56	116	42	73	21	6	14	10	17	10	25	14	81	103	94	140	184	188	153	186	50	150	94	180
Bacillus sp. es.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	1	3	0	3	1	0
Bacillus sp. es.036	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	4	1	4	4	4	4	2	2	4	2	4
Bacillus sp. FJAT-14266	0	0	0	0	88	105	119	173	171	197	80	116	251	96	236	36	17	50	24	38	29	39	38	150	130	99	167	209	232	180	244	72	192	125	214
Bacillus sp. FJAT-21351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	9	6	5	5	8	0	1	2	8	3	3
Bacillus sp. FJAT-21352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	10	19	9	13	14	3	12	5	8
Bacillus sp. FJAT-22058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	8	19	21	19	23	24	13	22	10	25
Bacillus sp. FMQ74	0	0	0	0	51	46	51	47	84	64	28	85	54	45	93	5	9	14	13	11	14	22	12	62	60	59	81	128	117	90	126	45	104	64	129
Bacillus sp. G1(2015b)	0	0	0	0	0	0	0	1	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	4	1	1	2	4	4	2	7	2	1	2	3
Bacillus sp. GBSC66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	3	2	2	1	0	1	0
Bacillus sp. GBSW19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	3	1	1	1	0	3	2	4
Bacillus sp. GBSW2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	3	0	1	1	0	1	3
Bacillus sp. GZB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	39	38	62	62	84	67	88	22	68	39	55
Bacillus sp. H15-1	0	0	0	0	1	0	1	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	1	2	0	1	2	0
Bacillus sp. I-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	2	0	2	0	3	1	0
Bacillus sp. JS	0	0	0	0	12692	14468	15063	15100	22131	21228	10950	17963	19458	15809	28152	3088	2913	5909	2924	3724	3929	5122	4459	3144	2962	2503	3630	5036	5533	3960	6461	2155	4663	3076	4948
Bacillus sp. Leaf13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	3	1	1	0	2	1	3
Bacillus sp. Leaf406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	6	6	1	3	5	5	2	4	5	4
Bacillus sp. LK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	3	4	5	14	14	5	14	4	9	8	9
Bacillus sp. LL01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11	13	17	23	19	19	20	11	22	13	24
Bacillus sp. LLTC93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	2	3	3	0	3	2	0	0	3
Bacillus sp. LM 4-2	0	0	0	0	9	7	10	6	13	14	5	14	12	11	14	2	0	4	1	4	0	1	1	83	96	80	96	143	170	107	167	46	125	75	164
Bacillus sp. LNXM10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	2	2	0	2	2	0	2
Bacillus sp. LNXM12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	2	1	2	1	2	0	0	1
Bacillus sp. LNXM12-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2	1	2	0	1	1	2
Bacillus sp. LNXM65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	4	4	1	3	0	1	2	4
Bacillus sp. Lzh-5	0	0	0	0	13	15	10	21	16	21	9	20	29	13	19	3	7	5	3	4	4	4	1	90	91	65	115	168	162	156	199	61	163	74	150
Bacillus sp. M6-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	30	29	46	50	49	28	51	22	51	41	35
Bacillus sp. MD-5	0	0	0	0	364	416	447	441	626	636	323	532	603	507	849	105	92	166	104	107	153	160	151	2242	2271	1852	2663	3701	4559	2870	4870	1596	3577	2290	3524
Bacillus sp. mrc49	0	0	0	0	0	0	1	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	250	461	415	423	716	686	736	773	332	629	444	894
Bacillus sp. MT	0	0	0	0	0	1	0	0	4	1	0	0	1	1	2	0	0	0	0	0	0	0	0	13	14	11	15	15	20	21	24	6	19	11	18
Bacillus sp. MZGC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	2	2	2	1	1	0	1	0	1
Bacillus sp. Nf3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	1	0	0	4	0	0
Bacillus sp. NMCC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	7	1	0	1	0	5	0	2
Bacillus sp. NMCC46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	1	1	2	3	0	2
Bacillus sp. NMCN1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	3	0	0	3	1	1	0	1
Bacillus sp. NMCN6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	3	0	1	2	1
Bacillus sp. NMTD17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	4	2	3	4	2	0	0	4
Bacillus sp. NRRL B-14911	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	3	1	2	2	0	0	2	1
Bacillus sp. OK838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	3	3	1	1	0	1
Bacillus sp. OV166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	7	9	12	12	16	12	9	18	10	20
Bacillus sp. Pc3	0	0	0	0	2	3	3	2	3	1	0	2	3	3	2	0	0	1	0	1	0	0	0	21	16	16	26	43	48	22	41	16	45	21	50
Bacillus sp. Rc4	0	0	0	0	5	2	4	5	12	9	2	5	10	4	5	2	0	2	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
Bacillus sp. RJGP41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	2	1	1	2	1	5
Bacillus sp. Root920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	1	0	1	1	4	4	3
Bacillus sp. RZ2MS9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	3	1	0	0	1	0	0	1	1
Bacillus sp. SDLI1	0	0	0	0	3	2	8	11	8	12	7	4	15	8	28	1	1	8	3	7	2	2	0	332	294	248	360	511	545	372	619	200	423	309	459
Bacillus sp. SN1	0	0	0	0	817	877	953	1049	1461	1389	667	1387	1435	936	1772	196	151	379	182	226	216	288	232	9	16	10	18	22	25	12	23	9	28	12	25
Bacillus sp. SN32	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	17	14	10	17	21	17	20	21	4	14	15	17
Bacillus sp. Soil745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	3	0	5	5	2	1	1	2	3
Bacillus sp. Soil768D1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	4	5	4	7	0	7	3	5	1	3
Bacillus sp. TS-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	3	4	4	1	0	1	2
Bacillus sp. UMB0893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	24	23	25	37	32	35	44	19	32	23	35
Bacillus sp. V33-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	6	3	8	7	7	6	4	3	3	11
Bacillus sp. V5-8f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	1	3	1	0	0	1	1	0
Bacillus sp. V59.32b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	31	22	21	36	29	33	36	14	33	11	46
Bacillus sp. VMFN-A1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	5	5	10	15	18	14	17	4	8	5	5
Bacillus sp. VT-16-64	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1	4	5	4	3	2	3	4	1	4	1
Bacillus sp. VT 712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	22	30	12	9	8	2	6	4	11	5	9
Bacillus sp. X2(2017)	0	0	0	0	8	13	7	6	13	11	10	9	9	8	20	1	0	5	2	2	0	1	0	105	105	92	116	157	197	136	222	73	163	98	175
Bacillus sp. YBWC18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	1	2	2	1
Bacillus sp. YP1	0	0	0	0	22	11	26	37	29	30	15	18	42	16	22	7	6	8	6	8	5	6	4	74	77	58	114	142	170	114	164	66	130	83	143
Bacillus subtilis	1740000	1740000	1740000	1740000	2027	2358	2457	2639	3614	3551	1700	2794	3634	2553	4560	579	495	986	508	613	718	848	745	4537	4110	3361	4939	6738	7523	5170	9002	2874	5939	3876	6707
Bacillus swezeyi	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	1	1	0	1	2	5	2	3
Bacillus vallismortis	0	0	0	0	40	37	39	102	71	69	48	153	175	45	93	18	9	18	14	16	14	15	9	127	149	123	149	240	219	193	270	84	201	125	219
Bacillus velezensis	0	0	0	0	47	51	53	116	97	97	41	61	175	54	128	18	10	26	20	43	15	17	28	211	197	139	230	323	344	273	396	136	303	154	374
bacteria symbiont BFo1 of Frankliniella occidentalis	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	3	2	2	1	0	1
Brevibacillus laterosporus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	3	3	2	1	0	2	2	0	1	0
Brevibacillus sp. VP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	1	1	2	1	2	0	0
Brucella cytisi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	25	22	8	14	6	1	1	0	1	3	2
Brucella oryzae	0	0	0	0	0	0	0	0	2	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Budvicia aquatica	0	0	0	0	0	1	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	1	0	0
Burkholderia contaminans	0	0	0	0	3	0	1	0	0	0	2	1	0	1	1	0	0	0	0	0	0	1	0	7	5	0	5	3	6	4	5	5	4	0	3
Candidatus Arthromitus sp. SFB-turkey	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	16	1	1	3	0	3	0	0	0	3	1	1
Candidatus Delongbacteria bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	2	1	0	3	1
Candidatus Gastranaerophilales bacterium HUM_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	1	3	0	0	0	0	0	0	1
Candidatus Propionivibrio aalborgensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3	2	0	0	1	3	2	2
Candidatus Rokubacteria bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	3	5	1	1	3	4	2	0
Chlorobi bacterium OLB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	3	0	4	0	0	0	0
Chroococcidiopsis sp. TS-821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	4	2	2	3	3	0	3	2	1
Citrobacter amalonaticus	0	0	0	0	14	16	20	60	62	61	46	64	66	48	46	6	4	15	9	15	11	18	13	907	535	295	2255	1853	1526	1577	1655	1040	1244	720	1215
Citrobacter braakii	0	0	0	0	0	0	0	17	14	12	2	1	33	0	1	9	1	0	1	5	2	2	2	5	2	3	23	24	10	24	13	22	16	7	20
Citrobacter farmeri	0	0	0	0	368	415	439	1266	1196	1469	985	1363	854	794	1169	103	99	251	283	238	264	252	258	78	75	61	338	282	201	353	258	214	202	143	237
Citrobacter freundii	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	4	3	4	9	3	7	4	9	9	1	11
Citrobacter freundii complex sp. CFNIH2	0	0	0	0	282	292	316	974	866	1098	731	1022	607	521	766	70	46	180	236	178	167	144	182	66	73	42	308	234	171	251	197	149	179	99	197
Citrobacter koseri	0	0	0	0	1225	1319	1486	4637	3860	4727	3254	4495	3337	2434	3457	294	285	789	987	912	827	829	871	704	602	363	2564	2243	1714	2190	1910	1306	1621	984	1636
Citrobacter rodentium	0	0	0	0	44	50	46	136	138	157	120	166	130	86	132	13	6	26	44	24	26	24	23	189	233	138	798	771	505	839	573	540	545	361	618
Citrobacter sp. 50677481	0	0	0	0	4	1	4	11	15	9	9	11	10	7	8	0	0	2	1	3	3	2	2	21	40	19	122	137	74	137	102	87	86	60	104
Citrobacter sp. A316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	3	2	1	1	1	0
