tax.identity	sample	count	superkingdom	phylum	class	order	family	genus	species
Achromobacter spanius	sample_37	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter spanius
Achromobacter xylosoxidans	sample_37	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans
Acidaminobacter hydrogenoformans	sample_37	6578	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales Family XII. Incertae Sedis	Acidaminobacter	Acidaminobacter hydrogenoformans
Acidaminococcus fermentans	sample_37	31	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus fermentans
Acidaminococcus intestini	sample_37	76	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini
Acidaminococcus intestini CAG:325	sample_37	10	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini CAG:325
Acidaminococcus sp. BV3L6	sample_37	9	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus sp. BV3L6
Acidaminococcus sp. CAG:542	sample_37	22	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus sp. CAG:542
Acidaminococcus sp. HPA0509	sample_37	7	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus sp. HPA0509
Acidianus brierleyi	sample_37	4	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus brierleyi
Acidihalobacter aeolianus	sample_37	5	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter aeolianus
Acidihalobacter ferrooxydans	sample_37	3	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter ferrooxydans
Acidihalobacter prosperus	sample_37	4	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter prosperus
Acidihalobacter yilgarnensis	sample_37	4	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter yilgarnensis
Acidimicrobium ferrooxidans	sample_37	1	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium ferrooxidans
Acidiphilium multivorum	sample_37	4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium multivorum
Acidiphilium rubrum	sample_37	2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium rubrum
Acidiphilium sp. 34-64-41	sample_37	2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 34-64-41
Acidiphilium sp. 37-60-79	sample_37	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 37-60-79
Acidiphilium sp. 37-64-53	sample_37	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 37-64-53
Acidipila sp. 4G-K13	sample_37	6	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidipila	Acidipila sp. 4G-K13
Acidiplasma cupricumulans	sample_37	6	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Acidiplasma	Acidiplasma cupricumulans
Acidipropionibacterium acidipropionici	sample_37	15	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium acidipropionici
Acidipropionibacterium virtanenii	sample_37	9	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium virtanenii
Acidithiobacillus caldus	sample_37	2	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus caldus
Acidithiobacillus ferridurans	sample_37	3	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferridurans
Acidithiobacillus ferrivorans	sample_37	2	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrivorans
Acidithiobacillus ferrooxidans	sample_37	6	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrooxidans
Acidithiobacillus sp. SH	sample_37	1	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus sp. SH
Acidithiobacillus thiooxidans	sample_37	13	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
Acidobacteria bacterium	sample_37	2	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium
Acidobacteria bacterium 13_1_20CM_3_53_8	sample_37	2	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium 13_1_20CM_3_53_8
Acidobacteria bacterium 13_1_40CM_56_16	sample_37	2	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium 13_1_40CM_56_16
Acidobacteria bacterium 13_2_20CM_58_27	sample_37	13	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium 13_2_20CM_58_27
Acidobacteria bacterium Mor1	sample_37	1	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium Mor1
Acidobacteria bacterium OLB17	sample_37	17	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium OLB17
Acidobacteria bacterium RBG_13_68_16	sample_37	7	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RBG_13_68_16
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15	sample_37	1	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21	sample_37	17	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11	sample_37	3	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19	sample_37	4	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19
Acidobacteria bacterium SCN 69-37	sample_37	3	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium SCN 69-37
Acidobacteriales bacterium 59-55	sample_37	3	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	NA	NA	Acidobacteriales bacterium 59-55
Acidobacterium capsulatum	sample_37	5	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium capsulatum
Acidobacterium sp.	sample_37	6	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium sp.
Acidocella aminolytica	sample_37	4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella aminolytica
Acidocella sp. 21-58-7	sample_37	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. 21-58-7
Acidocella sp. MX-AZ02	sample_37	2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. MX-AZ02
Acidomonas methanolica	sample_37	2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidomonas	Acidomonas methanolica
Acidothermus cellulolyticus	sample_37	1	Bacteria	Actinobacteria	Actinomycetia	Acidothermales	Acidothermaceae	Acidothermus	Acidothermus cellulolyticus
Acidovorax anthurii	sample_37	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax anthurii
Acidovorax avenae	sample_37	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax avenae
Acidovorax caeni	sample_37	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax caeni
Acidovorax carolinensis	sample_37	5	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax carolinensis
Acidovorax citrulli	sample_37	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax citrulli
Acidovorax defluvii	sample_37	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax defluvii
Acidovorax delafieldii	sample_37	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax delafieldii
Acidovorax konjaci	sample_37	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax konjaci
Acidovorax soli	sample_37	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax soli
Acidovorax sp. 30	sample_37	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 30
Acidovorax sp. 56	sample_37	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 56
Acidovorax sp. 62	sample_37	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 62
Acidovorax sp. 69	sample_37	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 69
Acidovorax sp. 99	sample_37	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 99
Acidovorax sp. BoFeN1	sample_37	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. BoFeN1
Acidovorax sp. CF316	sample_37	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. CF316
Acidovorax sp. HMWF018	sample_37	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. HMWF018
Acidovorax sp. HMWF029	sample_37	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. HMWF029
Acidovorax sp. KKS102	sample_37	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. KKS102
Acidovorax sp. Leaf160	sample_37	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf160
Acidovorax sp. Leaf191	sample_37	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf191
Acidovorax sp. Leaf78	sample_37	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf78
Acidovorax sp. MR-S7	sample_37	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. MR-S7
Acidovorax sp. RAC01	sample_37	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. RAC01
Acidovorax sp. Root217	sample_37	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root217
Acidovorax sp. Root219	sample_37	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root219
Acidovorax sp. Root402	sample_37	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root402
Acidovorax sp. Root70	sample_37	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root70
Acidovorax temperans	sample_37	5	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax temperans
Acinetobacter albensis	sample_37	1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter albensis
Acinetobacter beijerinckii	sample_37	8	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter beijerinckii
Acinetobacter boissieri	sample_37	5	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter boissieri
Acinetobacter brisouii	sample_37	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter brisouii
Acinetobacter calcoaceticus	sample_37	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter calcoaceticus
Acinetobacter celticus	sample_37	1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter celticus
Acinetobacter chinensis	sample_37	8	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter chinensis
Acinetobacter colistiniresistens	sample_37	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter colistiniresistens
Acinetobacter equi	sample_37	5	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter equi
Acinetobacter gandensis	sample_37	4	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter gandensis
Acinetobacter genomosp. 33YU	sample_37	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter genomosp. 33YU
Acinetobacter gerneri	sample_37	1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter gerneri
Acinetobacter gyllenbergii	sample_37	3	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter gyllenbergii
Acinetobacter haemolyticus	sample_37	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus
Acinetobacter idrijaensis	sample_37	1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter idrijaensis
Acinetobacter johnsonii	sample_37	3	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
Acinetobacter junii	sample_37	1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter junii
Acinetobacter kookii	sample_37	4	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter kookii
Acinetobacter lactucae	sample_37	6	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter lactucae
Acinetobacter larvae	sample_37	1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter larvae
Acinetobacter marinus	sample_37	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter marinus
Acinetobacter nectaris	sample_37	3	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter nectaris
Acinetobacter pittii	sample_37	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter pittii
Acinetobacter populi	sample_37	1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter populi
Acinetobacter pragensis	sample_37	4	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter pragensis
