tax.identity	sample	count	superkingdom	phylum	class	order	family	genus	species
Acetivibrio ethanolgignens	sample_17	11352	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio ethanolgignens
Acetivibrio thermocellus	sample_17	183	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio thermocellus
Acetoanaerobium noterae	sample_17	20	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium noterae
Acetoanaerobium sticklandii	sample_17	35	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium sticklandii
Acetobacter aceti	sample_17	8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter aceti
Acetobacter ascendens	sample_17	4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter ascendens
Acetobacter cerevisiae	sample_17	11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter cerevisiae
Acetobacter cibinongensis	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter cibinongensis
Acetobacter fabarum	sample_17	8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter fabarum
Acetobacter ghanensis	sample_17	10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter ghanensis
Acetobacter indonesiensis	sample_17	4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter indonesiensis
Acetobacter malorum	sample_17	32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter malorum
Acetobacter okinawensis	sample_17	9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter okinawensis
Acetobacter orientalis	sample_17	6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter orientalis
Acetobacter orleanensis	sample_17	5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter orleanensis
Acetobacter oryzifermentans	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter oryzifermentans
Acetobacter pasteurianus	sample_17	40	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus
Acetobacter persici	sample_17	9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter persici
Acetobacter pomorum	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pomorum
Acetobacter senegalensis	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter senegalensis
Acetobacter sp. DmW_043	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. DmW_043
Acetobacter sp. DsW_54	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. DsW_54
Acetobacter sp. JWB	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter sp. JWB
Acetobacter syzygii	sample_17	13	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter syzygii
Acetobacter tropicalis	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter tropicalis
Acetobacteraceae bacterium	sample_17	12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	Acetobacteraceae bacterium
Acetobacteraceae bacterium AT-5844	sample_17	10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	Acetobacteraceae bacterium AT-5844
Acetobacterium bakii	sample_17	16	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium bakii
Acetobacterium sp. KB-1	sample_17	27	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium sp. KB-1
Acetobacterium sp. MES1	sample_17	42	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium sp. MES1
Acetobacterium wieringae	sample_17	16	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium wieringae
Acetobacterium woodii	sample_17	52	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium woodii
Acetohalobium arabaticum	sample_17	6	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	Acetohalobium arabaticum
Acetomicrobium mobile	sample_17	1	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Acetomicrobium mobile
Acetomicrobium thermoterrenum	sample_17	2	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Acetomicrobium thermoterrenum
Acetonema longum	sample_17	38	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Acetonema	Acetonema longum
Acholeplasma laidlawii	sample_17	3	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma laidlawii
Achromobacter aegrifaciens	sample_17	16	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter aegrifaciens
Achromobacter arsenitoxydans	sample_17	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter arsenitoxydans
Achromobacter denitrificans	sample_17	8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter denitrificans
Achromobacter dolens	sample_17	9	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter dolens
Achromobacter insolitus	sample_17	6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter insolitus
Achromobacter kerstersii	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter kerstersii
Achromobacter marplatensis	sample_17	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter marplatensis
Achromobacter mucicolens	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter mucicolens
Achromobacter piechaudii	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter piechaudii
Achromobacter pulmonis	sample_17	9	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter pulmonis
Achromobacter ruhlandii	sample_17	14	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter ruhlandii
Achromobacter sp. 2789STDY5608615	sample_17	5	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. 2789STDY5608615
Achromobacter sp. 2789STDY5608628	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. 2789STDY5608628
Achromobacter sp. 2789STDY5608633	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. 2789STDY5608633
Achromobacter sp. AONIH1	sample_17	7	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. AONIH1
Achromobacter sp. HZ28	sample_17	5	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. HZ28
Achromobacter sp. HZ34	sample_17	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. HZ34
Achromobacter sp. MFA1 R4	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. MFA1 R4
Achromobacter sp. RTa	sample_17	15	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. RTa
Achromobacter sp. Root565	sample_17	10	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. Root565
Achromobacter sp. Root83	sample_17	14	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. Root83
Achromobacter spanius	sample_17	5	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter spanius
Achromobacter xylosoxidans	sample_17	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans
Acidaminobacter hydrogenoformans	sample_17	24	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales Family XII. Incertae Sedis	Acidaminobacter	Acidaminobacter hydrogenoformans
Acidaminococcus fermentans	sample_17	50	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus fermentans
Acidaminococcus intestini	sample_17	35	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini
Acidaminococcus intestini CAG:325	sample_17	5	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini CAG:325
Acidaminococcus sp. BV3L6	sample_17	4	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus sp. BV3L6
Acidaminococcus sp. CAG:542	sample_17	20	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus sp. CAG:542
Acidaminococcus sp. HPA0509	sample_17	1	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus sp. HPA0509
Acidianus brierleyi	sample_17	1	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus brierleyi
Acidianus hospitalis	sample_17	1	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus hospitalis
Acidianus sulfidivorans	sample_17	3	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus sulfidivorans
Acidihalobacter aeolianus	sample_17	13	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter aeolianus
Acidihalobacter ferrooxydans	sample_17	3	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter ferrooxydans
Acidihalobacter prosperus	sample_17	11	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter prosperus
Acidimicrobiales bacterium	sample_17	1	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	NA	NA	Acidimicrobiales bacterium
Acidimicrobium ferrooxidans	sample_17	1	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium ferrooxidans
Acidiphilium cryptum	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium cryptum
Acidiphilium multivorum	sample_17	11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium multivorum
Acidiphilium rubrum	sample_17	5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium rubrum
Acidiphilium sp. 20-67-58	sample_17	10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 20-67-58
Acidiphilium sp. 21-60-14	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 21-60-14
Acidiphilium sp. 34-64-41	sample_17	5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 34-64-41
Acidiphilium sp. 37-60-79	sample_17	4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 37-60-79
Acidiphilium sp. 37-64-53	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. 37-64-53
Acidiphilium sp. JA12-A1	sample_17	6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. JA12-A1
Acidipila sp. 4G-K13	sample_17	4	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidipila	Acidipila sp. 4G-K13
Acidiplasma cupricumulans	sample_17	4	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Acidiplasma	Acidiplasma cupricumulans
Acidipropionibacterium acidipropionici	sample_17	14	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium acidipropionici
Acidipropionibacterium virtanenii	sample_17	10	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium virtanenii
Acidithiobacillus caldus	sample_17	4	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus caldus
Acidithiobacillus ferridurans	sample_17	7	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferridurans
Acidithiobacillus ferrivorans	sample_17	7	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrivorans
Acidithiobacillus ferrooxidans	sample_17	1	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrooxidans
Acidithiobacillus thiooxidans	sample_17	19	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
Acidobacteria bacterium	sample_17	10	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium
Acidobacteria bacterium 13_1_20CM_3_53_8	sample_17	2	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium 13_1_20CM_3_53_8
Acidobacteria bacterium 13_2_20CM_58_27	sample_17	3	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium 13_2_20CM_58_27
Acidobacteria bacterium Mor1	sample_17	2	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium Mor1
Acidobacteria bacterium OLB17	sample_17	5	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium OLB17
Acidobacteria bacterium RBG_13_68_16	sample_17	5	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RBG_13_68_16
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15	sample_17	2	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_64_15
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21	sample_17	25	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21
Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36	sample_17	1	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11	sample_17	2	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_65_11
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21	sample_17	2	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21
Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19	sample_17	5	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_68_19
Acidobacteria bacterium SCN 69-37	sample_17	9	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium SCN 69-37
Acidobacteriales bacterium 59-55	sample_17	5	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	NA	NA	Acidobacteriales bacterium 59-55
Acidobacteriia bacterium AA117	sample_17	14	Bacteria	Acidobacteria	Acidobacteriia	NA	NA	NA	Acidobacteriia bacterium AA117
Acidobacterium capsulatum	sample_17	8	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium capsulatum
Acidobacterium sp.	sample_17	11	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium sp.
Acidocella aminolytica	sample_17	9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella aminolytica
Acidocella sp. 20-57-95	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. 20-57-95
Acidocella sp. MX-AZ02	sample_17	5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. MX-AZ02
Acidomonas methanolica	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidomonas	Acidomonas methanolica
Acidovorax anthurii	sample_17	11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax anthurii
Acidovorax avenae	sample_17	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax avenae
Acidovorax caeni	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax caeni
Acidovorax carolinensis	sample_17	7	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax carolinensis
Acidovorax cattleyae	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax cattleyae
Acidovorax citrulli	sample_17	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax citrulli
Acidovorax defluvii	sample_17	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax defluvii
Acidovorax delafieldii	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax delafieldii
Acidovorax kalamii	sample_17	9	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax kalamii
Acidovorax konjaci	sample_17	10	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax konjaci
Acidovorax soli	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax soli
Acidovorax sp. 107	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 107
Acidovorax sp. 24-64-9	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 24-64-9
Acidovorax sp. 28-64-14	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 28-64-14
Acidovorax sp. 35-64-16	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 35-64-16
Acidovorax sp. 56	sample_17	10	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 56
Acidovorax sp. 59	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 59
Acidovorax sp. 62	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 62
Acidovorax sp. 69	sample_17	7	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 69
Acidovorax sp. 99	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 99
Acidovorax sp. CF316	sample_17	9	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. CF316
Acidovorax sp. HMWF018	sample_17	6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. HMWF018
Acidovorax sp. JS42	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. JS42
Acidovorax sp. Leaf160	sample_17	7	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf160
Acidovorax sp. Leaf191	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf191
Acidovorax sp. Leaf76	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf76
Acidovorax sp. Leaf78	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf78
Acidovorax sp. Leaf84	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf84
Acidovorax sp. MR-S7	sample_17	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. MR-S7
Acidovorax sp. RAC01	sample_17	8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. RAC01
Acidovorax sp. Root217	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root217
Acidovorax sp. Root219	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root219
Acidovorax sp. Root267	sample_17	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root267
Acidovorax sp. Root275	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root275
Acidovorax sp. Root402	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root402
Acidovorax sp. Root568	sample_17	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root568
