dummy	genus	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	sample_1	sample_10	sample_15	sample_17	sample_20	sample_25	sample_30	sample_35	sample_37	sample_40	sample_5	sample_50	sample_55	sample_57	sample_60
TRUE	Achromobacter	147	75	93	48	344	99	239	171	72	31	135	22	151	0	1	0	0	0	0	2	1	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidaminobacter	24	6578	1653	26	9	29	15	24	9	1	16	9	18	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0
TRUE	Acidaminococcus	115	155	31	957	199	212	491	217	311	160	156	202	84	358	34	51	30	23	40	34	35	26	618	31	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidianus	5	4	2	5	1	3	5	1	4	0	5	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidihalobacter	27	16	16	16	76	21	68	20	8	1	40	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidilobus	0	3	1	4	19	6	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidimicrobium	1	1	2	0	17	2	1	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidiphilium	46	10	34	6	99	32	39	47	16	11	38	3	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidiplasma	4	6	0	0	3	6	3	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidipropionibacterium	24	24	8	8	84	19	34	25	11	2	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidithiobacillus	38	27	18	46	24	25	24	18	15	5	25	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidobacterium	19	11	3	0	116	16	38	22	6	4	26	28	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidocella	15	7	24	3	7	9	56	24	3	4	30	4	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidomonas	3	2	6	0	1	1	5	2	1	5	5	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidothermus	0	1	0	0	4	1	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidovorax	102	51	56	24	347	73	202	150	58	18	65	13	110	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acinetobacter	382	354	305	287	382	427	325	302	1166	173	401	380	316	0	0	0	0	1	44	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actibacterium	38	13	37	2	13	40	26	28	8	1	79	1	20	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinacidiphila	16	11	8	2	43	11	38	37	15	13	12	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinoalloteichus	9	5	6	1	41	12	15	17	1	2	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinobacillus	8	37	14	23	35	26	11	32	12	12	18	14	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinobaculum	7	29	5	15	44	11	14	24	6	2	7	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinokineospora	35	28	17	8	140	34	53	52	7	6	9	9	9	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinomadura	38	31	27	11	219	38	44	88	19	10	24	2	23	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinomyces	248	194	129	110	1207	212	296	399	132	108	148	105	125	2	20	4	2	2	4	7	1	0	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinomycetospora	7	5	3	2	10	1	6	6	3	8	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinophytocola	10	12	4	3	28	5	6	8	1	4	1	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinoplanes	123	23	29	42	251	57	110	81	22	12	16	8	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinopolyspora	15	20	11	26	103	27	23	38	9	3	8	2	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinosynnema	26	7	5	19	70	9	33	17	3	3	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinotalea	5	6	11	3	72	17	17	18	4	3	5	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinotignum	6	14	4	2	11	8	12	10	4	2	18	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acutalibacter	212	2346	932	18280	15543	3672	19658	96799	30404	185	1239	4385	14587	1803	1525	344	1926	9674	3036	6	478	84	0	391	1447	0	7	0	0	7	15	0	0	0	0	0	0	1	0	0
TRUE	Advenella	20	6	4	5	24	6	24	16	8	3	19	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aequoribacter	6	1	6	3	0	12	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aequorivita	34	29	27	5	13	18	5	21	26	14	25	8	46	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aeribacillus	3	2	0	3	3	7	2	3	3	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aerococcus	131	57	43	120	162	84	134	40	23	208	16	33	56	0	8	2	2	1	0	13	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aeromicrobium	45	30	31	15	197	41	76	67	21	8	17	5	19	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aeromonas	213	101	50	99	359	114	217	157	70	61	138	25	56	0	0	0	0	0	0	6	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aeropyrum	0	1	0	0	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aestuariibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	40	5	0	0	0
TRUE	Aestuariispira	18	3	26	0	3	22	17	18	2	1	40	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Afifella	5	4	6	0	6	6	35	2	1	1	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Afipia	45	11	42	4	8	37	34	39	10	6	66	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Agarivorans	0	2	1	0	0	0	2	2	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Agathobacter	1388	3025	32744	2248	13561	32841	547	44144	37640	609	19239	2786	366	38	1373	3439	17	4336	3454	29	51	1871	0	215	17	0	11	25	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Agathobaculum	393	653	80	355	451	399	533	157	132	195	2624	3573	201	9	7	13	4	2	4	8	14	306	0	418	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1
TRUE	Aggregatibacter	38	15	2	27	9	6	45	22	3	1	7	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Agreia	6	11	8	3	59	10	25	24	4	2	7	5	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Agrilactobacillus	119	60	20	183	828	478	389	236	112	1042	23	7	87	6	33	22	19	16	3	38	4	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Agriterribacter	6	2	14	0	4	11	8	1	2	42	4	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Agrobacterium	197	70	129	30	130	156	104	188	42	31	305	28	83	0	0	1	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Agrococcus	15	15	15	2	115	19	34	47	29	15	5	5	10	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Agromyces	36	35	24	11	171	24	35	60	13	9	3	2	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Ahniella	4	1	0	0	0	2	7	1	1	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Ahrensia	65	16	64	2	25	53	31	47	5	0	133	0	27	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aidingimonas	1	1	3	1	1	0	2	3	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Akkermansia	2886	25	13	6	182159	10	3619	5556	129921	3	12663	2272	9479	0	16372	0	335	489	11835	0	285	1126	0	207	865	0	120	0	3	3	4	113	0	0	3	15	0	3	0	8
TRUE	Albidovulum	5	1	8	4	5	8	6	3	3	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Albimonas	15	7	50	1	22	9	39	35	9	0	59	4	23	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alcaligenes	39	4	2	16	6	3	34	5	7	5	14	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alcanivorax	26	19	15	4	53	15	53	28	12	4	20	4	24	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Algibacter	11	15	12	58	14	26	10	10	11	5	8	6	12	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Algoriella	76	22	2	14	5	21	4	7	4	1	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Algoriphagus	93	77	105	47	35	53	46	61	30	100	45	33	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aliarcobacter	43	78	34	62	100	113	32	62	36	14	107	145	38	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alicycliphilus	8	9	5	5	54	15	22	25	7	6	8	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alicyclobacillus	23	15	6	6	30	9	36	37	7	1	9	6	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aliidiomarina	3	1	2	20	1	4	1	0	3	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aliiglaciecola	3	0	0	2	4	3	1	5	1	0	42	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aliiroseovarius	14	3	12	0	0	12	16	3	0	1	30	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aliiruegeria	9	5	18	1	4	4	5	35	5	1	22	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aliivibrio	38	58	14	51	128	66	24	44	13	20	27	31	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alishewanella	12	1	3	3	4	11	39	2	4	4	30	3	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alistipes	2719	453347	284716	5198523	4619	37127	5763	84813	25179	171	188724	25303	660012	521905	439	3869	538	8372	2472	21	102540	18940	4719	2428	66043	3221	2	22	3	3	45	14	0	607	643	157	20	38	421	391
TRUE	Alkalibacterium	267	1759	21	68	969	13362	193	4489	20	30	36	1007	2092	0	125	1407	3	514	0	0	309	0	0	122	246	0	0	12	0	0	4	0	0	5	3	0	0	2	0	2
TRUE	Alkalicoccobacillus	5	22	4	1	26	4	6	3	2	3	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alkalicoccus	22	16	0	26	16	15	11	14	5	2	11	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alkalidesulfovibrio	15	11	6	23	92	10	25	20	8	5	3	6	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alkalihalobacillus	20	24	13	52	108	66	25	37	21	9	18	13	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alkalihalophilus	66	43	9	62	15	38	80	26	11	9	14	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alkalilimnicola	3	3	3	0	10	8	2	8	5	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alkalimonas	4	2	4	1	0	7	3	2	0	0	16	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alkalinema	4	6	1	0	2	2	12	0	5	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alkaliphilus	42	289	461	1146	28	812	302	108	71	16	411	211	80	56	0	24	7	0	0	0	35	14	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alkalispirochaeta	13	9	5	6	24	31	21	35	10	3	6	7	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alkalitalea	11	10	2150	4	1	4	0	13	8	3	3	7	22298	0	0	0	0	0	0	0	1215	0	0	0	2262	0	0	0	0	0	0	0	0	0	6	0	0	0	3	10
TRUE	Alkalithermobacter	25	106	65	117	28	199	255	131	93	24	51	49	11	3	0	2	4	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alkanindiges	7	2	2	0	0	4	1	3	1	5	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Allisonella	8	8	1	4	4	3	17	3	6	3	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alloactinosynnema	4	3	3	3	10	1	35	5	1	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alloalcanivorax	10	4	6	1	42	12	9	13	1	0	26	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Allobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0
TRUE	Allochromatium	4	5	9	4	34	5	8	14	3	1	6	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alloiococcus	1	1	1	2	4	0	19	2	1	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Allokutzneria	2	7	1	0	8	2	6	32	1	3	4	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Allomeiothermus	24	0	1	19	5	0	35	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Allomuricauda	8	3	5	2	3	6	6	2	8	8	5	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Allonocardiopsis	8	13	3	0	41	9	9	14	3	1	1	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alloprevotella	339	3516	1188	27	96	512	116	1754	1295	389	4532	402	18469	1	5	26	6	70	31	33	411	394	178	9	1689	0	0	0	0	0	0	0	0	7	3	4	0	0	0	13
