Row.names	sample	project	db	Vregion	platform	workflow	mapq.filt	method	sample_name	bamfile	Detection_threshold_ratio	Detection_threshold	statistic	value	Detection_threshold_percent	level
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_25	sample_25.bam	1e-04	144.1534	True_positives	113	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_25	sample_25.bam	0.001	1441.534	True_positives	54	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_25	sample_25.bam	0.01	14415.34	True_positives	10	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_30	sample_30.bam	1e-04	146.8281	True_positives	106	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_30	sample_30.bam	0.001	1468.281	True_positives	43	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_30	sample_30.bam	0.01	14682.81	True_positives	11	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_35	sample_35.bam	1e-04	161.8713	True_positives	33	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_35	sample_35.bam	0.001	1618.713	True_positives	28	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_35	sample_35.bam	0.01	16187.13	True_positives	5	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_40	sample_40.bam	1e-04	145.406	True_positives	122	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_40	sample_40.bam	0.001	1454.06	True_positives	51	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_40	sample_40.bam	0.01	14540.6	True_positives	10	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_5	sample_5.bam	1e-04	153.6823	True_positives	96	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_5	sample_5.bam	0.001	1536.823	True_positives	40	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_5	sample_5.bam	0.01	15368.23	True_positives	7	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_50	sample_50.bam	1e-04	167.5985	True_positives	50	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_50	sample_50.bam	0.001	1675.985	True_positives	29	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_50	sample_50.bam	0.01	16759.85	True_positives	11	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_55	sample_55.bam	1e-04	156.318	True_positives	84	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_55	sample_55.bam	0.001	1563.18	True_positives	18	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_55	sample_55.bam	0.01	15631.8	True_positives	2	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_60	sample_60.bam	1e-04	151.8829	True_positives	115	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_60	sample_60.bam	0.001	1518.829	True_positives	50	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_60	sample_60.bam	0.01	15188.29	True_positives	13	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_1	sample_1.bam	1e-04	138.0604	False_positives	89	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_1	sample_1.bam	0.001	1380.604	False_positives	26	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_1	sample_1.bam	0.01	13806.04	False_positives	6	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_10	sample_10.bam	1e-04	144.4106	False_positives	138	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_10	sample_10.bam	0.001	1444.106	False_positives	35	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_10	sample_10.bam	0.01	14441.06	False_positives	8	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_15	sample_15.bam	1e-04	148.1973	False_positives	178	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_15	sample_15.bam	0.001	1481.973	False_positives	45	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_15	sample_15.bam	0.01	14819.73	False_positives	12	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_20	sample_20.bam	1e-04	139.8732	False_positives	130	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_20	sample_20.bam	0.001	1398.732	False_positives	35	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_20	sample_20.bam	0.01	13987.32	False_positives	3	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_25	sample_25.bam	1e-04	144.1534	False_positives	136	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_25	sample_25.bam	0.001	1441.534	False_positives	34	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_25	sample_25.bam	0.01	14415.34	False_positives	9	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_30	sample_30.bam	1e-04	146.8281	False_positives	113	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_30	sample_30.bam	0.001	1468.281	False_positives	24	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_30	sample_30.bam	0.01	14682.81	False_positives	7	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_35	sample_35.bam	1e-04	161.8713	False_positives	80	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_35	sample_35.bam	0.001	1618.713	False_positives	26	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_35	sample_35.bam	0.01	16187.13	False_positives	9	1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_40	sample_40.bam	1e-04	145.406	False_positives	136	0.01%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_40	sample_40.bam	0.001	1454.06	False_positives	34	0.1%	Species
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	NA	BestAln	sample_40	sample_40.bam	0.01	14540.6	False_positives	6	1%	Species
