dummy	family	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	sample_1	sample_10	sample_15	sample_17	sample_20	sample_25	sample_30	sample_35	sample_37	sample_40	sample_5	sample_50	sample_55	sample_57	sample_60
TRUE	Eggerthellaceae	6723	6006	5303	146	69723	9991	2137	17851	5001	467	1179	189	3942	3	1152	149	41	271	85	4	157	26	0	1	61	0	359	62	41	11	101	12	0	26	20	11	0	2	33	21
TRUE	Erysipelotrichaceae	105122	18246	1786	6048	17350	7996	125648	6122	12056	24604	39408	31543	2038	319	1703	790	12017	684	1394	2570	1821	4221	88	3726	219	4	25	4	166	82	10	18	17	26	28	44	0	18	3	2
TRUE	Eubacteriaceae	36776	20567	1294	82331	34537	120712	63044	67334	50478	4157	16649	27679	2467	7178	2870	11918	5978	6779	4936	177	4784	1251	1286	2172	114	42	15	66	42	44	38	28	0	15	28	5	0	21	0	0
TRUE	Helicobacteraceae	163	170	50	206	172	194	77	88	57	15065	228	301	50	1	1	0	0	0	0	1415	2	0	21055	0	1	0	0	0	0	0	0	0	17	0	0	0	299	0	0	0
TRUE	Lachnospiraceae	1906240	3759714	753152	2698258	1303677	4309843	3031085	2435569	6657557	967608	1555018	1308849	1638469	273086	118289	416589	310831	237827	660812	92003	465154	153805	37800	129469	164932	2594	846	2554	2587	1661	1317	3882	464	4920	2978	1038	229	928	920	863
TRUE	Lactobacillaceae	2717246	1125117	1068500	2532323	12293841	6064367	6505246	3161124	1207944	11857644	224093	158291	1612278	257339	1233329	609814	661723	318396	122468	1204633	140627	22798	23177	16296	163294	608	3597	2267	1413	1608	1096	379	5133	1193	587	132	124	108	820	608
TRUE	Odoribacteraceae	659	469847	46146	1747	77	8709	320	3718	1225	148404	245969	609	121016	24	3	438	15	252	86	14858	16019	24563	263	32	12058	0	0	0	0	0	0	0	66	386	92	191	0	0	36	63
TRUE	Oscillospiraceae	1054456	316156	108350	656439	241542	672674	2277657	1379501	1731329	251679	352983	339656	171081	48083	23377	64285	188348	132868	156084	24403	46161	34353	737	34363	15892	396	119	448	755	991	967	1324	100	339	316	325	0	274	136	114
TRUE	Porphyromonadaceae	417736	318213	411408	9047	43565	522324	260463	1789563	286545	111194	238328	132672	1181252	859	4439	51879	25394	182234	29267	11286	74158	24565	26157	13496	120725	8	33	466	520	222	1656	284	83	657	730	317	233	208	819	1080
TRUE	Prevotellaceae	7044	413583	3977923	16771	23925	45690	37196	2161504	3418086	299248	2256295	1127771	7633661	1191	2261	4095	3805	214960	339272	31535	337602	224800	567894	114585	755862	7	17	18	0	21	1396	2391	199	396	2386	2120	4111	1192	4773	4974
TRUE	Prolixibacteraceae	174	159065	7024	50	60	37	85	136	67	32	116	129	79828	0	0	0	0	0	0	0	1	0	0	0	7887	0	0	0	0	0	0	0	0	194	0	0	0	0	8	33
TRUE	Pseudobdellovibrionaceae	42	9350	183540	18	10	53	52	28271	19	6	212322	1715	226507	0	1	0	0	2175	0	0	10360	20086	0	179	20438	0	0	0	0	0	22	0	0	15	81	183	0	2	195	155
TRUE	Rikenellaceae	2783	453404	284884	5198587	4628	37857	5792	85241	25284	190	188778	25318	660176	521906	439	4047	539	8396	2480	22	102551	18943	4751	2428	66048	3221	2	22	3	3	45	14	0	607	643	157	20	38	421	391
TRUE	Robiginitomaculaceae	260	14	118	4	4	280	34	21	0	0	529	5	34	0	0	2	0	0	0	0	2	2	0	0	0	0	0	55	53	5	2	0	0	4	11	148	0	0	19	6
TRUE	Ruminococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	16	24	978	1157	16	22	34	23	28	32	0	20	8	2
TRUE	Staphylococcaceae	6464	471	209	31177	83978	960	768	7060	331	880	493	479	404	3103	8194	11	11	687	1	42	21	9	133	2	27	24	46	0	12	0	4	0	0	0	0	0	1	0	0	0
TRUE	Tannerellaceae	1455314	35723	138581	2335312	4944	498613	1367602	192219	74906	68089	60428	22235	360326	232893	477	50462	136241	16680	6030	6812	10093	5901	92473	2261	35275	801	2	143	869	419	61	18	17	33	35	23	378	17	101	192
