tax.identity	sample	count	superkingdom	phylum	class	order	family	genus	species
Acidobacteria bacterium SCN 69-37	sample_57	5	Bacteria	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium SCN 69-37
Acidobacteriales bacterium 59-55	sample_57	2	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	NA	NA	Acidobacteriales bacterium 59-55
Acidobacteriia bacterium AA117	sample_57	3	Bacteria	Acidobacteria	Acidobacteriia	NA	NA	NA	Acidobacteriia bacterium AA117
Acidobacterium capsulatum	sample_57	1	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium capsulatum
Acidobacterium sp.	sample_57	2	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium sp.
Acidocella aminolytica	sample_57	8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella aminolytica
Acidocella sp. 20-57-95	sample_57	3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. 20-57-95
Acidocella sp. 21-58-7	sample_57	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. 21-58-7
Acidocella sp. MX-AZ02	sample_57	12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	Acidocella sp. MX-AZ02
Acidomonas methanolica	sample_57	6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidomonas	Acidomonas methanolica
Acidovorax anthurii	sample_57	8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax anthurii
Acidovorax avenae	sample_57	43	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax avenae
Acidovorax caeni	sample_57	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax caeni
Acidovorax carolinensis	sample_57	9	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax carolinensis
Acidovorax cattleyae	sample_57	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax cattleyae
Acidovorax citrulli	sample_57	2323	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax citrulli
Acidovorax defluvii	sample_57	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax defluvii
Acidovorax delafieldii	sample_57	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax delafieldii
Acidovorax konjaci	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax konjaci
Acidovorax soli	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax soli
Acidovorax sp. 107	sample_57	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 107
Acidovorax sp. 30	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 30
Acidovorax sp. 56	sample_57	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 56
Acidovorax sp. 62	sample_57	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 62
Acidovorax sp. 69	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 69
Acidovorax sp. 99	sample_57	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. 99
Acidovorax sp. BoFeN1	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. BoFeN1
Acidovorax sp. CF316	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. CF316
Acidovorax sp. JS42	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. JS42
Acidovorax sp. KKS102	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. KKS102
Acidovorax sp. Leaf160	sample_57	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf160
Acidovorax sp. Leaf191	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf191
Acidovorax sp. Leaf76	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf76
Acidovorax sp. Leaf78	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf78
Acidovorax sp. Leaf84	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Leaf84
Acidovorax sp. MR-S7	sample_57	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. MR-S7
Acidovorax sp. RAC01	sample_57	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. RAC01
Acidovorax sp. Root219	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root219
Acidovorax sp. Root275	sample_57	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root275
Acidovorax sp. Root568	sample_57	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root568
Acidovorax sp. Root70	sample_57	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. Root70
Acidovorax temperans	sample_57	5	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax temperans
Acidovorax valerianellae	sample_57	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax valerianellae
Acinetobacter albensis	sample_57	1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter albensis
Acinetobacter apis	sample_57	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter apis
Acinetobacter baylyi	sample_57	1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter baylyi
Acinetobacter beijerinckii	sample_57	5	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter beijerinckii
Acinetobacter boissieri	sample_57	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter boissieri
Acinetobacter brisouii	sample_57	1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter brisouii
Acinetobacter calcoaceticus	sample_57	3	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter calcoaceticus
Acinetobacter celticus	sample_57	5	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter celticus
Acinetobacter colistiniresistens	sample_57	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter colistiniresistens
Acinetobacter equi	sample_57	4	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter equi
Acinetobacter genomosp. 16BJ	sample_57	1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter genomosp. 16BJ
Acinetobacter genomosp. 33YU	sample_57	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter genomosp. 33YU
Acinetobacter gerneri	sample_57	1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter gerneri
Acinetobacter gyllenbergii	sample_57	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter gyllenbergii
Acinetobacter indicus	sample_57	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter indicus
Acinetobacter johnsonii	sample_57	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii
Acinetobacter kookii	sample_57	2	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter kookii
