dummy	order	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	sample_1	sample_10	sample_15	sample_17	sample_20	sample_25	sample_30	sample_35	sample_37	sample_40	sample_5	sample_50	sample_55	sample_57	sample_60
TRUE	Eubacteriales	1205265	409310	167301	1253444	321295	1001236	2479304	1633316	1851015	305192	8360914	11455827	267045	83182	29546	92448	204933	155260	166413	29572	57816	917866	3750	1261311	24603	477	145	600	800	1100	1024	1354	100	376	395	4619	1	7237	172	121
TRUE	Flavobacteriales	3524	2902	3012	2613	2786	3264	2197	3839	2537	2774	2747	2945	4162	31	4	19	12	53	14	49	24	89	43	124	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Hyphomicrobiales	7549	1736	6731	17369	10978	3340	66243	10998	6358	1329831	6728	1177	7526	1552	648	31	6083	644	511	131844	4	35	2164	2	553	7	2	0	3	22	2	2	414	0	0	0	8	0	3	2
TRUE	Lachnospirales	1918003	3765312	753998	2700129	1328323	4319453	3086376	2448742	6667415	1136699	1565082	1314795	1656411	273179	120843	417504	316242	239073	661753	109428	466329	154805	370672	130060	166815	2594	858	2558	2600	1683	1321	3886	547	4924	2984	1042	2238	930	920	873
TRUE	Lactobacillales	2757935	1152879	1074577	2544037	12339630	6131756	6535258	3199449	1212528	11945157	230786	169591	1650998	258073	1236972	616406	664448	322284	122778	1212652	142556	23428	23535	17297	167104	612	3618	2315	1496	1627	1120	381	5183	1245	601	137	127	122	829	638
TRUE	Lutisporales	41	62	22	98	17	93	5180	4010	6750	34	39	8	4	1	0	0	529	427	689	0	2	0	0	1	0	0	0	0	0	3	2	4	0	0	0	0	0	0	0	0
TRUE	Maricaulales	557	67	228	28	52	602	108	84	30	4	1072	8	84	0	1	3	0	0	0	0	2	7	0	0	0	0	0	55	53	5	2	0	0	4	11	148	0	0	19	6
TRUE	Marinilabiliales	312	159251	9686	120	117	128	156	251	166	127	185	208	102381	0	0	0	1	0	0	0	1217	0	0	0	10150	0	0	0	0	0	0	0	0	194	6	0	0	0	16	43
TRUE	Peptostreptococcales	1542	19482	12491	10539	1393	10000	5010	10086	16442	667	19279	25720	17560	563	24	488	121	693	1662	77	675	1812	7	2475	1414	4	0	4	0	0	7	0	0	25	6	0	0	0	24	15
TRUE	Rhodobacterales	3149	912	2928	679	2654	2548	2625	2865	767	376	4831	501	1536	0	10	11	1	11	1	6	0	17	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Rhodospirillales	1339	543	2842	430	7430	1050	1534	12046	743	279	2400	138	1401	1	288	4	4	568	13	2	8	25	0	0	20	0	2	0	0	0	13	2	0	0	0	8	0	0	14	6
TRUE	Selenomonadales	1159	11105	300	1315	1041	944	2393	1111	627	351	2253	1100	329	10	10	6	25	9	9	9	16	174	63	26	4	0	0	0	0	0	0	0	0	18	0	1	0	0	0	0
TRUE	Sphingomonadales	1802	537	1059	448	11606	1363	1692	1329	384	128514	2388	92	599	0	1178	4	3	5	3	13524	1	3	2	0	2	0	4	0	0	0	0	0	50	0	0	0	0	0	0	0
TRUE	Tissierellales	608	2760	467	1463	628	50683	2018	4366	6392	661	650	3422	405	36	2	4922	12	336	561	29	16	6	5	267	8	0	0	33	0	0	2	4	0	4	0	0	0	3	0	0
TRUE	Veillonellales	895	797	192	722	744	882	58684	770	32761	490	679	808	373	73	23	42	5822	32	3222	17	27	32	58	21	18	0	0	0	0	55	0	35	0	0	0	0	0	0	0	0
TRUE	Verrucomicrobiales	2935	45	47	23	182268	34	3710	5612	129931	13	12683	2277	9493	0	16372	0	335	489	11835	0	285	1126	0	207	865	0	120	0	3	3	4	113	0	0	3	15	0	3	0	8
