sample	superkingdom	phylum	class	order	family	genus	species	norm_count
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	[Butyribacterium] methylotrophicum	12016.4220533087
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. 3_2_5	23520.6966955468
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	75152.6588899763
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium 3_1_57FAA_CT1	33181.581710591
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. YAB3001	16556.9697998474
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio clariflavus	107982.956360787
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp.	56174.2152042682
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia hydrogenotrophica	119467.336264527
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA	Porphyromonadaceae bacterium KA00676	68776.1109905432
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium 5_1_63FAA	53757.2886872072
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] lactaris	4828.73724422219
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	228841.219056934
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium	Oribacterium sp. KHPX15	11683.8957098278
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus casei	9259.01129736731
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. DS1_6	2226.5054485719
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium 6_1_37FAA	29461.834032405
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes	Anaerostipes sp. 992a	231.915808786657
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella maculosa	9685.89554344275
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas somerae	68944.3636361335
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. INlla14	106660.240461164
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus agilis	290477.392610788
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia coccoides	34243.9607464299
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus paracasei	19330.8647676878
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. INlla16	43455.2246713999
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Pseudobutyrivibrio	Pseudobutyrivibrio sp. AR14	29423.1813976072
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium 7_1_58FAA	53944.8676501964
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium NLAE-zl-G231	64011.0369095173
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. CAG:12237_41	6806.27425100842
sample_37	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Erysipelatoclostridium ramosum	5488.10572018426
sample_37	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Coprobacillus	Coprobacillus sp. 3_3_56FAA	1944.00016188816
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. AM16-43	21797.243920446
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Tyzzerella	Tyzzerella nexilis	7012.61111029655
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Loigolactobacillus	Loigolactobacillus coryniformis	66631.4581803665
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium CAG:364	60549.9208318164
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. HMSC077C11	353.557924179659
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. HMSC066G01	1248.25273552818
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. 7_3_54FAA	24389.2441362968
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Caminicella	Caminicella sporogenes	9856.9902945329
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	36056.0872131256
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	Odoribacter laneus CAG:561	59991.7313116485
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia obeum	44909.8142662162
sample_37	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	Erysipelotrichaceae bacterium CAG:64	4545.09511533851
sample_37	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	Erysipelotrichaceae bacterium 21_3	8055.66382873654
sample_37	Bacteria	Firmicutes	NA	NA	NA	NA	Firmicutes bacterium CAG:646	571.831626567101
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales Family XII. Incertae Sedis	Acidaminobacter	Acidaminobacter hydrogenoformans	21525.5386346616
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia sp. KLE 1732	9100.42181047643
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster	Enterocloster asparagiformis	58446.7627619374
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium 9_1_43BFAA	17965.5172855664
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus	Coprococcus sp. AM25-15LB	29160.0024283224
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Thermoclostridium	Thermoclostridium stercorarium	21643.2018023548
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	Lawsonibacter	Lawsonibacter asaccharolyticus	631.515842063667
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	Evtepia	Evtepia gabavorous	135.284221792217
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides heparinolyticus	982.23166074349
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Youngiibacter	Youngiibacter fragilis	51.7263200970241
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes	Anaerostipes sp. CAG:276	6718.16898051349
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes	Anaerostipes sp. AF04-45	5288.58991409574
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. C105KSO14	16416.5697881555
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. CAG:167	134.715800692249
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	16388.7171542571
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. C150	13.0736852992478
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. 2_1_22	4542.82143093864
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii	39687.1611997167
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium 2_1_58FAA	49504.3620172519
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	Prolixibacteraceae	Draconibacterium	Draconibacterium sediminis	4705.38986552929
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium AM25-11LB	57619.141640385
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Anaerotignum	Anaerotignum lactatifermentans	8010.19014073916
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Agathobaculum	Agathobaculum butyriciproducens	512.715832170502
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA	Clostridiales bacterium AM23-16LB	973.136923144013
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus sakei	55851.3520194867
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospira	Lachnospira multipara	1385.81064172027
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lacrimispora	Lacrimispora sphenoides	31831.0131770687
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] gnavus	46121.1196302465
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. M55	15095.5591518315
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio ethanolgignens	562.736888967624
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	Trichococcus palustris	17612.5277824867
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia intestinalis	35103.9818706804
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia intestinalis CAG:13	6128.14787874743
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis CAG:47	18383.8752151423
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp.	6169.07419794508
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. UMNPBX2	2635.20021944839
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium A10	46737.2881026111
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster	Enterocloster citroniae	7324.67429417859
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	Anaerovirgula	Anaerovirgula multivorans	284.778971083616
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas cangingivalis	44715.4142500274
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella tannerae	10069.5797859207
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	Butyrivibrio proteoclasticus	50379.1620901016
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	NA	NA	Clostridiales bacterium 1_7_47FAA	1985.49490218577
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus flavefaciens	16079.4960758749
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Papillibacter	Papillibacter cinnamivorans	11502.0009578383
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus salivarius	11910.1273076148
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus rhamnosus	4966.86357151424
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidophilus	16401.7908395564
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus paraplantarum	3763.51610288348
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. CAG:29	22667.4966244959
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus pentosus	30452.592009648
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium XBB2008	605.936892565139
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium CAG:25	15571.8960336041
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella nigrescens	5185.70569500165
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	NA	Clostridiaceae bacterium TF01-6	1232.90536582907
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. UMNPBX9	2829.60023563721
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. HMSC056D05	409.263191976454
sample_37	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella lenta	2854.61076403577
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Pseudobutyrivibrio	Pseudobutyrivibrio sp. UC1225	2654.52653684728
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. AF14-19	20392.6753824268
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus	Coprococcus sp. HPP0074	19363.833191486
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gallinarum	24176.0862238091
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium AM25-17	22162.170266625
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium	Oribacterium sp. oral taxon 108	4454.71616044371
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Paucilactobacillus	Paucilactobacillus suebicus	153.47369699117
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus damnosus	961.2000800447
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Sporobacter	Sporobacter termitidis	25053.7284021586
sample_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas sp. COT-052 OH4946	46666.8038862152
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium woodii	29.5578971982995
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium oral taxon 500	13083.3484579473
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium MD308	17670.5067346834
sample_37	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halanaerobium	Halanaerobium hydrogeniformans	9.66315869944406
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Faecalicatena	Faecalicatena contorta	2180.46333947455
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. CAG:58	2532.88442145428
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus	Coprococcus eutactus CAG:665	20179.517469939
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia argi	6556.16896702281
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia sp. SF-50	10328.7798075058
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA	Lachnospiraceae bacterium XBD2001	5224.9267508994
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia producta	4180.1687691595
sample_37	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus	Levilactobacillus brevis	1112.400092636
sample_37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp.	1686.50540360297
