dummy	species	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	sample_1	sample_10	sample_15	sample_17	sample_20	sample_25	sample_30	sample_35	sample_37	sample_40	sample_5	sample_50	sample_55	sample_57	sample_60
TRUE	[Clostridium] fimetarium	99	172	29	113	111	245	42	120	113	24	199	261	16	1	0	2	1	6	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] hylemonae	139	16069	4	200	128	147	122	8574	103524	38	146	206	23	0	0	1	1	886	10683	0	34	1	0	1	0	0	0	0	0	0	4	57	0	25	0	0	0	0	0	0
TRUE	[Clostridium] innocuum	456	2242	21	223	3304	35	1333	59	57	130	1263	176	17	15	216	0	85	0	2	16	166	20	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] lavalense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
TRUE	[Clostridium] leptum	350	105	32	143	3381	243	228	192	5300	56	1493	145	70	9	342	34	19	15	527	2	380	143	0	22	11	0	2	0	0	0	0	4	0	0	3	1	0	0	0	0
TRUE	[Clostridium] methylpentosum	39839	4145	99	46617	118	6305	51239	29173	18324	235	1621	1547	91	4748	5	666	5131	2995	1899	14	5887	208	0	199	10	31	0	4	68	29	17	12	0	7	38	1	0	1	0	0
TRUE	[Clostridium] paradoxum	9	48	18	64	13	87	116	53	33	19	19	33	8	3	0	2	3	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] polysaccharolyticum	151	6288	1578	218	137	140	67	30896	119	38	32	53	16	0	1	0	0	3080	2	0	1300	0	0	0	0	0	0	0	0	0	18	0	0	11	8	0	0	0	3	0
TRUE	[Clostridium] populeti	103	268	43071	116	5064	31604	44	136544	130713	41	41166	74	9	0	522	3201	0	13601	13055	0	562	4126	0	1	0	0	2	15	0	0	65	67	0	0	3	29	0	0	60	0
TRUE	[Clostridium] saccharogumia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	8	18	0	18	0	0
TRUE	[Clostridium] saccharolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] scindens	5326	23164	60	251	10822	11627	30409	3489	39780	210	1642	10124	3039	39	1287	1357	3512	426	4656	11	914	82	65	1088	355	0	6	7	3	19	2	28	0	29	6	0	0	9	0	2
TRUE	[Clostridium] sphenoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0
TRUE	[Clostridium] spiroforme	372	222	64	469	257	524	1238	878	127	184	2857	2991	79	39	10	41	34	46	0	6	63	132	108	136	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] sporosphaeroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
TRUE	[Clostridium] stercorarium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	28	9	5	0	8	13	3	7	0	1	0	0
TRUE	[Clostridium] symbiosum	922	102598	375	399	644	10637	13365	34212	481	607	32247	44629	521	6	42	1226	1488	3907	30	23	2829	3216	1	4360	26	0	0	4	0	5	16	0	0	81	11	0	0	0	0	0
TRUE	[Clostridium] thermoalcaliphilum	16	58	47	53	15	112	139	78	60	5	32	16	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] viride	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	3	0	0
TRUE	[Enterobacter] lignolyticus	6	4	6	5	14	6	26	10	3	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Eubacterium] brachy	10	18	4	7	6	93	27	70	41	3	10	3	7	0	0	8	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Eubacterium] infirmum	77	71	11	191	71	113	47	66	48	15	52	37	12	1	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Eubacterium] minutum	22	15	0	37	9	25	17	11	7	1	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Eubacterium] nodatum	28	73	6	18	15	111	20	95	38	5	11	24	3	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Eubacterium] rectale	669	1935	68	1164	8533	15428	295	346	3061	484	1011	1342	132	19	880	1692	10	27	63	29	22	46	0	89	13	0	11	25	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Eubacterium] saphenum	0	108	3	5	3	119	7	59	15	0	3	1	3	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Eubacterium] siraeum	284	157	20	234	101	182	271	229	231	36	702	855	51	5	6	15	10	11	4	6	7	20	7	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Eubacterium] sulci	75	45	3	94	55	60	54	48	28	8	18	13	3	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Eubacterium] yurii	49	57	454	35	10	84	53	32	15	6	10	10	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TRUE	[Flavobacterium] thermophilum	3	4	0	0	2	1	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Flexibacter] sp. ATCC 35103	1	6	5	0	3	0	3	3	2	21	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Flexibacter] sp. ATCC 35208	3	8	12	4	2	4	14	34	15	15	11	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Haemophilus] ducreyi	5	7	3	10	42	17	14	9	17	7	54	73	3	0	3	0	0	0	2	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Mannheimia] succiniciproducens	1	0	1	2	1	2	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Mycoplasma] phocidae	1	1	3	2	1	4	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Ochrobactrum] quorumnocens	6	2	8	0	3	3	1	8	3	0	16	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Ochrobactrum] soli	5	5	7	0	1	2	1	13	1	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Pasteurella] mairii	2	1	1	1	0	8	2	2	9	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Ruminococcus] gnavus	3799	15363	629	3869	575	5625	461	1860	2181	910	1690	2969	161	65	52	402	26	169	152	115	262	147	5	250	8	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
TRUE	[Ruminococcus] gnavus CAG:126	549	2582	100	640	144	1505	26	524	528	82	52	270	11	13	7	73	2	29	29	6	44	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Ruminococcus] lactaris	930	3602	166	1312	953	1809	1989	662	57744	942	989	1303	342	73	64	215	214	57	5863	109	43	27	1	32	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Ruminococcus] torques	864	931	168	6958	412	1067	419	493	591	168	4240	5250	334	105	27	145	45	54	44	15	83	573	0	772	38	0	21	110	6	0	0	0	0	0	0	1	0	0	0	0
TRUE	[Ruminococcus] torques CAG:61	973	557	363	306	4927	24218	51	779	908	68	714	23	1536	18	594	2638	0	27	16	1	70	66	0	2	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Abiotrophia defectiva	9635	27	9	10	160	173	34	1	5	7	0	11	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
TRUE	Abiotrophia sp. HMSC24B09	2487	1	1103	4	11785	14853	2844	3	1	1	0	892	2	0	1191	1536	297	0	0	0	0	0	0	98	0	0	10	15	6	3	0	0	0	0	0	0	0	2	3	0
TRUE	Absiella sp. AM09-45	99	68	14	273	55	91	123	31	30	31	445	603	13	14	1	5	25	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Absiella sp. AM09-50	95	71	7	422	60	139	165	46	41	34	463	672	19	20	2	6	25	5	3	3	3	50	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Absiella sp. AM10-20	87	189	43	1317	58	54	66	46	114	25	168	174	65	43	1	0	6	1	6	2	1	2	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Absiella sp. AM22-9	114	152	50	602	92	97	53	61	74	36	573	761	43	19	3	9	6	2	3	3	10	247	0	369	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Absiella sp. AM29-15	203	96	31	725	91	209	200	204	33	40	198	291	48	66	3	17	24	17	1	1	5	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Abyssibacter profundi	12	0	1	0	0	5	2	2	2	0	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acaryochloris marina	4	1	4	4	0	2	2	0	2	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acaryochloris thomasi	6	3	0	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetanaerobacterium elongatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	2	17	0	6	7	0	2	0	0
TRUE	Acetatifactor muris	495	623	184	269	159	445	435	250	326	157	2045	2484	384	3	1	24	6	10	4	1	31	91	8	121	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetitomaculum ruminis	688	887	1500	972	526	858	307	347	360	148	217	248	20864	33	37	64	27	20	10	2	451	13	16	11	2098	0	0	0	0	0	0	0	0	0	3	0	0	0	3	13
TRUE	Acetivibrio cellulolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
TRUE	Acetivibrio clariflavus	11892	35438	15	81	35	13878	54536	98	1213	73421	18952	3350	17	2	1	1368	5329	2	90	7299	1898	1890	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetivibrio ethanolgignens	11352	826	154	3763	274	538	20645	281	152	212	426	2137	397	415	12	24	2218	9	7	7	7	5	7	235	9	2	0	0	18	11	0	0	0	0	0	0	0	2	0	0
TRUE	Acetivibrio thermocellus	183	139	23	125	2463	230	15965	4725	560084	159	267	506	45	1	239	11	1565	474	56074	2	6	2	0	22	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetoanaerobium noterae	20	15	8	26	10	44	36	32	21	3	21	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetoanaerobium sticklandii	35	43	13	52	20	50	26	37	15	3	10	15	10	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter aceti	8	2	10	2	1	5	10	8	5	0	21	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter ascendens	4	1	1	4	0	2	0	0	1	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter cerevisiae	11	1	15	1	3	8	0	7	25	2	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter cibinongensis	3	0	1	0	0	7	1	5	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter fabarum	8	16	4	3	19	15	20	1	3	61	10	1	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter ghanensis	10	1	1	0	0	3	3	1	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter indonesiensis	4	6	3	1	3	10	2	5	2	16	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter malorum	32	1	5	24	2	7	28	4	0	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter okinawensis	9	5	6	3	0	4	2	16	2	1	26	2	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter orientalis	6	0	4	1	1	7	1	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter orleanensis	5	0	3	1	0	5	3	1	1	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter pasteurianus	40	0	2	41	2	3	75	2	0	1	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter persici	9	3	7	0	5	8	3	2	1	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter senegalensis	2	1	1	1	1	2	8	3	2	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter sp. DmW_043	2	1	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter sp. DsW_54	3	0	1	1	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter syzygii	13	1	7	1	15	15	8	4	1	14	26	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter tropicalis	3	4	5	28	3	8	7	3	18	1	9	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacteraceae bacterium	12	5	9	3	26	8	7	9	3	1	18	1	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacteraceae bacterium AT-5844	10	11	18	2	68	11	20	35	13	0	26	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacterium bakii	16	29	16	58	16	55	40	29	20	16	63	32	4	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacterium sp. KB-1	27	39	7	39	16	37	44	25	12	3	54	74	12	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacterium sp. MES1	42	22	5	17	14	15	93	15	7	7	6	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacterium wieringae	16	17	5	11	6	17	25	44	29	3	12	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacterium woodii	52	49	3	43	30	69	48	58	20	8	13	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetohalobium arabaticum	6	10	1	5	3	18	10	3	6	0	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetomicrobium flavidum	0	1	1	0	1	0	1	2	12	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetomicrobium thermoterrenum	2	3	1	5	0	5	2	3	2	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetonema longum	38	30	11	44	37	27	49	18	8	5	11	17	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acholeplasma laidlawii	3	5	0	11	10	5	2	0	2	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Achromobacter aegrifaciens	16	2	8	3	29	9	0	11	1	2	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Achromobacter arsenitoxydans	3	15	6	8	38	15	7	16	10	0	11	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Achromobacter denitrificans	8	5	4	6	34	17	20	12	4	2	27	1	20	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Achromobacter dolens	9	4	5	11	9	1	36	7	1	0	5	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
