dummy	species	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	sample_1	sample_10	sample_15	sample_17	sample_20	sample_25	sample_30	sample_35	sample_37	sample_40	sample_5	sample_50	sample_55	sample_57	sample_60
TRUE	Lacticaseibacillus paracasei	573510	12589	106381	628301	1135516	459347	1743078	86766	175479	67957	15977	5934	119599	65867	118561	48115	181837	9338	18470	7240	11382	1700	799	638	12567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Lactobacillus acidipiscis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	308	0	3	189	18	778	139	53	23	6	8	27	29
TRUE	Lactobacillus helveticus	541972	98018	204627	361699	802078	310730	1069506	24204	122099	1099580	10346	11298	189985	38566	85001	32687	114120	2357	13038	115949	8406	1075	4505	1230	20274	510	797	370	1017	1274	26	162	1138	282	107	18	55	24	467	236
TRUE	Lactobacillus kefiranofaciens	19926	60538	23863	17030	914066	513136	52963	263267	37951	1486998	30313	5569	64207	1099	90401	51142	3439	26432	3585	148800	8191	3046	778	547	6212	0	620	426	0	3	229	30	1060	150	76	38	7	8	44	50
TRUE	Lactobacillus pentosiphilus	26	485421	300142	265216	4721085	2375499	30879	1710598	358024	4601489	77867	77830	656328	26801	477192	240386	3136	172947	36181	465199	56555	7902	7995	7912	66338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Lactobacillus sp. DS22_6	633966	7699	116569	418866	742073	299278	1160077	50491	115269	35562	10214	3872	79105	69367	122780	49275	192578	8239	19126	5787	11854	1724	851	647	13108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Ligilactobacillus acidipiscis	774	87080	17840	417	564147	353553	4470	211438	19288	1048381	17788	5083	32528	20	61272	38492	512	23059	2147	114102	5959	1983	714	612	3591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Parabacteroides sp. HGS0025	1137145	46	20527	2077118	3	367676	1097003	34178	23721	60446	40401	13	17953	227468	0	40331	119910	3722	2585	6662	1946	4448	106	1	1947	775	0	118	612	343	11	8	17	0	6	19	0	0	11	6
TRUE	Porphyromonas gingivalis	280796	101828	100466	319	34183	385318	167082	529324	85152	9552	81625	116110	212213	37	3491	38546	16763	52828	8578	796	30160	8348	1688	11849	21429	0	26	349	344	152	497	86	4	127	313	115	16	189	121	193
TRUE	Porphyromonas sp. HMSC065F10	22	105568	166820	27	4953	152	11910	907544	146897	20638	81360	92	592361	0	542	12	1271	94227	15294	2178	26708	8480	6325	12	61540	0	4	0	0	11	877	152	17	308	271	114	61	0	471	566
TRUE	Prevotella buccae	303	2297	901000	2279	1949	7685	3514	551408	669781	8437	539006	5343	1007938	242	214	800	367	56293	68136	879	80814	54723	193	515	102609	2	1	4	0	2	348	453	4	2	548	496	0	5	795	631
TRUE	Prevotella corporis	5004	20376	1064543	2126	13568	12019	14057	119317	465258	262045	89949	94321	2184930	56	1265	726	1463	9823	46942	27908	18606	7236	544154	3801	228944	0	11	0	0	8	69	91	182	7	142	84	3977	47	96	352
TRUE	Prevotella maculosa	126	3181	1319310	6718	5531	21808	9943	1423750	1960781	23155	1595884	14488	3012712	698	572	2197	1011	143756	197724	2332	230037	160732	143	1381	303526	5	3	14	0	6	939	1377	13	6	1644	1525	1	15	2390	1965
TRUE	Prevotella oris	59	380700	8931	44	57	163	98	4882	4801	614	3752	998181	11789	1	7	17	5	269	184	40	1154	144	19387	108189	726	0	0	0	0	0	0	0	0	374	6	0	122	1117	5	0
TRUE	Prevotella ruminicola	68	30	642417	40	1562	26	18	16578	262975	30	1182	2791	1206551	0	118	0	0	1227	21973	0	212	40	0	225	100785	0	2	0	0	0	22	447	0	0	3	0	0	8	1458	1918
TRUE	Ruminococcaceae bacterium AB4001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	0	7	682	886	0	0	17	4	0	5	0	2	5	0
TRUE	Ruminococcaceae bacterium P7	185	80	12	140	140990	79683	726139	718390	57433	33	22745	16500	20	0	14203	8095	73032	72321	5796	1	0	2280	0	1688	0	0	75	51	0	458	475	40	0	0	0	22	0	18	0	0
TRUE	Tyzzerella nexilis	700	4459	1638	920394	359	1459	601	277	4976	750	8652	12189	4363	136290	21	74	21	16	739	41	886	1192	7	1678	678	955	0	0	0	0	0	4	0	4	6	0	0	0	3	4
