dummy	family	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	sample_1	sample_10	sample_15	sample_17	sample_20	sample_25	sample_30	sample_35	sample_37	sample_40	sample_5	sample_50	sample_55	sample_57	sample_60
TRUE	Alteromonadaceae	202	71	62	152	77	167	226	77	49	47	37407	45	65	0	0	0	0	0	0	1	3012	3550	705	0	0	0	0	0	0	0	0	0	0	0	25	40	5	0	0	0
TRUE	Aminobacteriaceae	4	1	0	5	2	2	3	7	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Amoebophilaceae	2	0	4	2	0	1	0	2	2	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Anaerolineaceae	75	83	16	26	108	53	795	91	36	15	252	256	17	1	2	0	69	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Anaeromyxobacteraceae	37	28	27	6	330	34	59	92	17	9	5	5	20	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Anaerotignaceae	4516	5478	840	1795	24606	9312	1388	2416	886	169082	5647	5920	17933	93	2554	899	86	191	61	17425	1175	564	332872	591	1883	0	12	4	4	0	0	0	83	4	6	1	2009	2	0	10
TRUE	Anaerovoracaceae	96	229	11	288	143	165	54	178	147	43	82	104	18	1	1	2	0	6	1	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Anaplasmataceae	2	1	4	2	4	8	4	1	2	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Antricoccaceae	2	5	2	0	12	0	0	5	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aphanizomenonaceae	48	47	47	99	69	54	32	54	40	39	41	26	56	0	0	2	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aphanothecaceae	15	28	11	11	38	40	19	34	24	7	25	5	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aquaspirillaceae	41	25	16	13	50	17	85	28	7	13	59	2	38	0	0	0	0	0	0	5	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aquificaceae	10	6	3	21	6	1	7	1	2	0	4	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Archaeoglobaceae	12	18	3	2	3	47	1	9	2	3	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Archangiaceae	80	71	63	62	428	81	185	269	53	19	40	21	51	0	3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Arcobacteraceae	137	143	114	220	326	339	128	204	143	24	207	299	146	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Ardenticatenaceae	2	3	1	0	0	1	1	1	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aspergillaceae	471	432	426	565	500	584	466	490	455	100	314	261	582	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Atopobiaceae	136	523	161	95	1040	139	91	348	88	581	117	43	69	1	20	1	0	6	1	9	12	2	0	0	1	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0
TRUE	Aurantimonadaceae	196	72	190	47	164	127	149	189	34	21	248	40	94	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Azonexaceae	22	6	7	11	13	11	23	16	8	2	20	3	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Azospirillaceae	226	93	513	50	5635	149	330	9901	104	38	336	31	240	0	281	1	0	542	1	0	1	5	0	0	2	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0
TRUE	Bacillaceae	3035	3419	1327	3852	6033	4615	4109	3151	1960	1765	4214	5152	1301	18	52	25	16	21	7	85	15	13	6	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Bacteroidaceae	29043	124617	957344	90155	99054	2049400	43074	2919677	1195602	36923	444806	61355	1314961	2501	9859	200816	3235	284334	117854	2397	147097	43355	501666	5983	127373	0	33	962	3	8	1194	528	17	92	716	257	2161	41	671	509
TRUE	Balneatrichaceae	2	3	6	4	0	1	16	4	0	0	70	86	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Balneolaceae	66	25	15	54	17	12	72	29	16	37	23	39	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Barnesiellaceae	2183	594	3244	4889	93	9405	808	3748	3617	225	5234	782	19537	54	4	455	23	233	416	24	1339	681	634	22	2109	0	0	0	0	0	0	2	0	0	9	5	0	0	3	10
TRUE	Bartonellaceae	123	36	33	90	30	71	82	20	43	2	54	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Beijerinckiaceae	145	25	52	92	50	69	144	40	9	11	132	11	27	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Bernardetiaceae	6	2	5	3	4	8	4	6	4	29	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Beutenbergiaceae	2	6	10	0	46	6	13	18	4	5	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Bifidobacteriaceae	1603	1678	527	817	5386	1451	3986	1836	792	718	475	251	461	31	195	52	151	61	36	19	51	17	8	14	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Blastochloridaceae	3	3	2	0	8	3	7	3	2	3	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Blastocystidae	32	11	4	20	53	17	44	15	2	0	92	117	3	0	2	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Bogoriellaceae	2	3	0	0	8	2	11	2	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Borreliaceae	12	28	26	30	76	56	18	36	16	5	11	15	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Boseaceae	2744	54	2660	15561	6607	117	61380	6184	5091	1329093	324	124	5259	1551	638	1	6070	605	503	131830	0	1	2149	0	527	7	2	0	3	22	2	2	414	0	0	0	8	0	3	2
TRUE	Brachyspiraceae	98	137	46	196	161	149	96	115	94	55	60	56	85	0	1	0	0	2	1	2	1	0	58	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Brevibacteriaceae	54	35	31	16	122	31	60	56	25	13	14	6	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Breznakiellaceae	17	47	3	28	45	28	6	61	28	8	18	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Brucellaceae	100	48	94	47	46	106	94	78	31	47	208	5	37	0	0	0	0	2	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Bruguierivoracaceae	10	7	4	1	4	6	12	15	4	3	105	158	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Budviciaceae	64	24	18	75	30	23	60	49	19	3	32	9	19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Burkholderiaceae	871	446	510	517	1647	437	1450	1190	325	204	781	274	906	2	8	5	3	4	10	8	13	10	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Butyricicoccaceae	393	653	80	355	451	399	533	157	132	195	2624	3573	201	9	7	13	4	2	4	8	14	306	0	418	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1
TRUE	Calderihabitantaceae	5	8	1	9	6	11	16	6	6	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Caldicellulosiruptoraceae	125	98	11	151	63	125	139	66	35	15	27	19	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Caldicoprobacteraceae	12	15	4	12	20	4	17	23	26	4	4	7	4	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Caldilineaceae	3	7	1	2	3	0	6	4	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Caldisphaeraceae	4	2	0	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Calditerrivibrionaceae	6	3	5	2	24	13	1	6	4	1	7	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Calditrichaceae	7	5	2	5	2	4	2	2	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Calotrichaceae	44	41	27	26	32	39	17	52	21	5	19	11	38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Caminicellaceae	61	3217	172	551	98	592	1977	277	126	6	163	265	24	7	0	8	73	0	0	0	32	4	0	8	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
TRUE	Campylobacteraceae	100	159	88	264	139	214	100	250	158	66	173	201	111	14	0	5	0	2	1	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Brocadiaceae	41	4	4	28	58	21	50	12	2	1	5	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Cloacimonadaceae	13	9	2	5	50	25	10	16	4	2	6	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Competibacteraceae	19	10	4	2	22	10	48	10	6	3	18	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Desulfofervidaceae	47	0	0	31	2	0	53	3	1	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Eremiobacteraceae	5	2	1	1	4	3	10	17	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Hadarchaeaceae	3	1	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Korobacteraceae	19	29	3	14	25	5	62	20	9	5	15	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Magnetomoraceae	22	40	1	16	8	26	15	10	9	5	113	139	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Methanofastidiosaceae	0	5	1	6	5	6	10	2	4	0	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Methanoperedenaceae	33	28	3	32	11	24	32	16	4	4	3	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Methylomirabilaceae	9	4	1	0	2	6	1	2	0	1	7	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Moduliflexaceae	31	5	2	19	9	7	48	7	3	1	9	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Nanopelagicaceae	20	28	3	90	35	12	9	20	20	4	12	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Ozemobacteraceae	14	4	3	3	23	6	41	7	1	4	7	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Pelagibacteraceae	5	5	3	1	2	9	9	8	5	1	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Promineifilaceae	4	8	3	1	27	8	28	29	4	0	2	2	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Saccharicenantaceae	6	3	1	24	11	2	7	0	5	0	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Sumerlaeaceae	1	1	0	0	3	3	1	8	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Candidatus Vecturitrichaceae	12	13	1	27	10	19	6	20	6	0	8	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Carbonactinosporaceae	21	2	3	10	33	4	17	9	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Cardiobacteriaceae	14	5	7	23	15	10	23	8	8	8	102	0	9	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Carnobacteriaceae	23539	16869	1451	4486	19900	42816	19591	34009	1991	543	3858	5146	26243	448	1937	4368	1987	3541	193	10	1313	382	0	531	2674	4	11	33	53	16	24	2	0	37	11	5	0	7	3	20
TRUE	Catalimonadaceae	8	4	14	1	11	5	1	12	4	33	6	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Catenulisporaceae	11	3	8	2	52	7	10	20	3	5	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Caulobacteraceae	527	174	315	127	820	478	374	482	95	75	670	26	171	1	2	0	2	4	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Cellulomonadaceae	78	61	50	33	388	121	179	191	46	34	38	15	63	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Cellulosilyticaceae	7247	120	6	76	40	298	53903	10757	8972	9	4417	26	9	0	0	16	5325	1055	880	0	0	436	0	0	0	0	0	0	9	22	4	4	0	0	0	3	0	0	0	0
TRUE	Cellvibrionaceae	42	18	33	7	44	31	34	26	20	10	81	8	32	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Chamaesiphonaceae	1	0	8	1	0	1	1	3	3	0	7	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Chelatococcaceae	7	9	19	3	19	1	22	38	10	5	26	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Chitinibacteraceae	32	16	16	6	35	20	96	47	18	9	29	9	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Chitinispirillaceae	0	3	7	1	6	2	9	8	3	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
