sample	project	db	Vregion	platform	workflow	method	sample_name	mapq.filt	bamfile	rank	R2
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_57	NA	sample_57.bam	phylum	0.996885975073373
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_60	NA	NA	phylum	0.993189299906119
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_1	NA	sample_1.bam	phylum	0.985122777207082
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_10	NA	sample_10.bam	phylum	0.994291543162822
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_15	NA	sample_15.bam	phylum	0.999121498990223
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_20	NA	sample_20.bam	phylum	0.940993342936389
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_25	NA	sample_25.bam	phylum	0.990926484668338
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_30	NA	sample_30.bam	phylum	0.997333521617834
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_35	NA	sample_35.bam	phylum	0.998267229574125
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_40	NA	sample_40.bam	phylum	0.996442928108469
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_5	NA	sample_5.bam	phylum	0.965592199932397
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_50	NA	sample_50.bam	phylum	0.999340403268832
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_55	NA	sample_55.bam	phylum	0.993493209147451
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_60	NA	sample_60.bam	phylum	0.992792533651846
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_1	NA	NA	order	0.897286918808635
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_10	NA	NA	order	0.976391022009501
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_15	NA	NA	order	0.950904274060815
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_17	NA	sample_17.bam	order	0.759545990289823
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_20	NA	NA	order	0.71413903394776
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_25	NA	NA	order	0.967768660984623
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_30	NA	NA	order	0.988478855655089
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_35	NA	NA	order	0.998237203086307
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_37	NA	sample_37.bam	order	0.995867349043114
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_5	NA	NA	order	0.959330840625608
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_55	NA	NA	order	0.99261167629961
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_57	NA	sample_57.bam	order	0.995976466546923
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_60	NA	NA	order	0.995890682458369
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_1	NA	sample_1.bam	order	0.899976582766954
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_10	NA	sample_10.bam	order	0.9730936818809
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_15	NA	sample_15.bam	order	0.942071872621725
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_20	NA	sample_20.bam	order	0.700986340904862
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_25	NA	sample_25.bam	order	0.964008706831715
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_30	NA	sample_30.bam	order	0.985502061982891
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_35	NA	sample_35.bam	order	0.998188383386358
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_40	NA	sample_40.bam	order	0.995037906952818
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_5	NA	sample_5.bam	order	0.944608022905957
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_50	NA	sample_50.bam	order	0.99921075436603
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_55	NA	sample_55.bam	order	0.990576122507187
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_60	NA	sample_60.bam	order	0.995398435491899
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_1	NA	NA	family	0.84451968783225
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_10	NA	NA	family	0.976497356731639
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_15	NA	NA	family	0.939536798775755
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_17	NA	sample_17.bam	family	0.710830060122444
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_20	NA	NA	family	0.696520052047952
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_25	NA	NA	family	0.855661484878924
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_30	NA	NA	family	0.979636749688025
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_35	NA	NA	family	0.998418580709703
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_37	NA	sample_37.bam	family	0.991043223425427
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_5	NA	NA	family	0.962482587493633
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_55	NA	NA	family	0.994879208291103
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_57	NA	sample_57.bam	family	0.977040622283225
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_60	NA	NA	family	0.982131901883962
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_1	NA	sample_1.bam	family	0.847297825984937
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_10	NA	sample_10.bam	family	0.973159497912721
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_15	NA	sample_15.bam	family	0.930336020506174
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_20	NA	sample_20.bam	family	0.686954785569166
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_25	NA	sample_25.bam	family	0.855581645653672
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_30	NA	sample_30.bam	family	0.976244743802066
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_35	NA	sample_35.bam	family	0.998415501028874
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_40	NA	sample_40.bam	family	0.980309783111702
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_5	NA	sample_5.bam	family	0.950912678083762
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_50	NA	sample_50.bam	family	0.943642086776747
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_55	NA	sample_55.bam	family	0.993271455271089
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_60	NA	sample_60.bam	family	0.982123880188089
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_1	NA	NA	genus	0.864173301273925
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_10	NA	NA	genus	0.336106318690157
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_15	NA	NA	genus	0.449318328847236
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_17	NA	sample_17.bam	genus	0.716805484448435
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_20	NA	NA	genus	0.663686181384824
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_25	NA	NA	genus	0.606579680981178
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_30	NA	NA	genus	0.867048379403014
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_35	NA	NA	genus	0.218209534971255
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_37	NA	sample_37.bam	genus	0.482981716675889
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_5	NA	NA	genus	0.961362261627874
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_55	NA	NA	genus	0.992184710641477
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_57	NA	sample_57.bam	genus	0.783414692521878
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_60	NA	NA	genus	0.728997899204897
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_1	NA	sample_1.bam	genus	0.856561844419726
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_10	NA	sample_10.bam	genus	0.317506482748201
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_15	NA	sample_15.bam	genus	0.431879293225672
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_20	NA	sample_20.bam	genus	0.649835701364094
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_25	NA	sample_25.bam	genus	0.596114035434684
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_30	NA	sample_30.bam	genus	0.881327336780823
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_35	NA	sample_35.bam	genus	0.218697686672503
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_40	NA	sample_40.bam	genus	0.907193271359713
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_5	NA	sample_5.bam	genus	0.952679965970104
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_50	NA	sample_50.bam	genus	0.945398541960247
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_55	NA	sample_55.bam	genus	0.992242950233056
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_60	NA	sample_60.bam	genus	0.691340056631682
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_1	NA	NA	species	0.903301042838819
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_10	NA	NA	species	0.0133516988246698
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_15	NA	NA	species	0.117822030150653
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_17	NA	sample_17.bam	species	0.305951167908521
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_20	NA	NA	species	0.131962334569396
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_25	NA	NA	species	0.428306327947045
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_30	NA	NA	species	0.437861655104422
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_35	NA	NA	species	0.0674077611709404
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_37	NA	sample_37.bam	species	0.296696192433309
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_5	NA	NA	species	0.978524310181414
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_55	NA	NA	species	0.995275726738703
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_57	NA	sample_57.bam	species	0.62128910418074
CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG	all_NCBI_genomes	WGS	Illumina	minitax	BestAln	sample_60	NA	NA	species	0.638264351932495
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_1	NA	sample_1.bam	species	0.898482685941797
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_10	NA	sample_10.bam	species	0.0120765740976159
CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG	all_NCBI_genomes	WGS	PacBio	minitax	BestAln	sample_15	NA	sample_15.bam	species	0.113944325920325
