sample	DNA_isolation_method	sample_name	GS_name	sample_nr	db	Vregion	platform	workflow	method	project	bamfile	mapq.filt	sequencing_date	group	GS_version	rank	R2
MN_V1_V2_illumina_EMU_EMUdb_1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	6	D6300	order	0.289495220394083
MN_V1_V2_illumina_EMU_EMUdb_3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	6	D6300	order	0.437367612252993
MN_V1_V2_illumina_EMU_EMUdb_4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	6	D6300	order	0.462148691330457
Q_V1_V2_illumina_EMU_EMUdb_1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	7	D6300	order	0.209931841184932
Q_V1_V2_illumina_EMU_EMUdb_2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	7	D6300	order	0.410570892331188
Q_V1_V2_illumina_EMU_EMUdb_4_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	7	D6300	order	0.162195633110341
V1_V9_ONT__EMU_EMUdb_I1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	order	0.99217531189027
V1_V9_ONT__EMU_EMUdb_I2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	order	0.987168756186318
V1_V9_ONT__EMU_EMUdb_I3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	order	0.987629591847138
V1_V9_ONT__EMU_EMUdb_I4_D6300	I	I4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	order	0.992117584176593
V1_V9_ONT__EMU_EMUdb_I5_D6300	I	I5	Zymo_D3600	5	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	order	0.994289300506382
V1_V9_ONT__EMU_EMUdb_MN1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	order	0.286922959671315
V1_V9_ONT__EMU_EMUdb_MN3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	order	0.496007630364619
V1_V9_ONT__EMU_EMUdb_MN4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	order	0.494927902608856
V1_V9_ONT__EMU_EMUdb_MN5_D6300	MN	MN4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	order	0.183741746964326
V1_V9_ONT__EMU_EMUdb_Q1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	order	0.240395693139742
V1_V9_ONT__EMU_EMUdb_Q2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	order	0.166306888266511
V1_V9_ONT__EMU_EMUdb_Q3_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	order	0.207757395281404
V1_V9_ONT__EMU_EMUdb_Q4_D6300	Q	Q4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	order	0.235814340837669
V1_V9_ONT__EMU_EMUdb_Q5_D6300	Q	Q5	Zymo_D3600	5	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	order	0.273822088194489
V1_V9_ONT__EMU_EMUdb_Z1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	order	0.619575078673189
V1_V9_ONT__EMU_EMUdb_Z2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	order	0.575309023107731
V1_V9_ONT__EMU_EMUdb_Z3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	order	0.495788716834024
V1_V9_ONT__EMU_EMUdb_Z4_D6300	Z	Z4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	order	0.439775259899709
V1_V9_ONT__EMU_EMUdb_Z5_D6300	Z	Z5	Zymo_D3600	5	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	order	0.380008017539316
Z_V1_V2_illumina_EMU_EMUdb_1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	8	D6300	order	0.611859077373955
Z_V1_V2_illumina_EMU_EMUdb_2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	8	D6300	order	0.584626456312576
Z_V1_V2_illumina_EMU_EMUdb_3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	8	D6300	order	0.481335680406415
I_V1_V2_illumina_EMU_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	5	D6300	genus	0.974004559257418
I_V1_V2_illumina_EMU_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	5	D6300	genus	0.944588930313452
I_V1_V2_illumina_EMU_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	5	D6300	genus	0.920455706686869
MN_V1_V2_illumina_EMU_EMUdb_1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	6	D6300	genus	0.319297641702087
MN_V1_V2_illumina_EMU_EMUdb_3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	6	D6300	genus	0.420183220832028
MN_V1_V2_illumina_EMU_EMUdb_4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	6	D6300	genus	0.374395698156805
Q_V1_V2_illumina_EMU_EMUdb_1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	7	D6300	genus	0.198068548281894
Q_V1_V2_illumina_EMU_EMUdb_2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	7	D6300	genus	0.300827202495801
Q_V1_V2_illumina_EMU_EMUdb_4_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	7	D6300	genus	0.164980921001547
V1_V9_ONT__EMU_EMUdb_I1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	genus	0.976956215146789
V1_V9_ONT__EMU_EMUdb_I2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	genus	0.965613104768058
V1_V9_ONT__EMU_EMUdb_I3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	genus	0.96732803265754
V1_V9_ONT__EMU_EMUdb_I4_D6300	I	I4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	genus	0.968902697604394
V1_V9_ONT__EMU_EMUdb_I5_D6300	I	I5	Zymo_D3600	5	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	genus	0.978600000983106
V1_V9_ONT__EMU_EMUdb_MN1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	genus	0.284834964849889
V1_V9_ONT__EMU_EMUdb_MN3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	genus	0.404029651124935
V1_V9_ONT__EMU_EMUdb_MN4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	genus	0.35801482787404
V1_V9_ONT__EMU_EMUdb_MN5_D6300	MN	MN4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	genus	0.19908885802988
V1_V9_ONT__EMU_EMUdb_Q1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	genus	0.219758286600692
V1_V9_ONT__EMU_EMUdb_Q2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	genus	0.177262993235737
V1_V9_ONT__EMU_EMUdb_Q3_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	genus	0.200451922743198
V1_V9_ONT__EMU_EMUdb_Q4_D6300	Q	Q4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	genus	0.217283825533749
V1_V9_ONT__EMU_EMUdb_Q5_D6300	Q	Q5	Zymo_D3600	5	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	genus	0.235336986984208
V1_V9_ONT__EMU_EMUdb_Z1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	genus	0.497325694754283
V1_V9_ONT__EMU_EMUdb_Z2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	genus	0.472640848571394
V1_V9_ONT__EMU_EMUdb_Z3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	genus	0.351775115937708
V1_V9_ONT__EMU_EMUdb_Z4_D6300	Z	Z4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	genus	0.332575697124388
V1_V9_ONT__EMU_EMUdb_Z5_D6300	Z	Z5	Zymo_D3600	5	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	genus	0.305822838834821
Z_V1_V2_illumina_EMU_EMUdb_1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	8	D6300	genus	0.579403613300781
Z_V1_V2_illumina_EMU_EMUdb_2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	8	D6300	genus	0.555096784798012
Z_V1_V2_illumina_EMU_EMUdb_3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	8	D6300	genus	0.388605372234659
I_V1_V2_illumina_EMU_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	5	D6300	species	0.855291075971321
I_V1_V2_illumina_EMU_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	5	D6300	species	0.811442776310787
I_V1_V2_illumina_EMU_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	5	D6300	species	0.795884318826522
MN_V1_V2_illumina_EMU_EMUdb_1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	6	D6300	species	0.226988428742177
MN_V1_V2_illumina_EMU_EMUdb_3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	6	D6300	species	0.307536655781759
MN_V1_V2_illumina_EMU_EMUdb_4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	6	D6300	species	0.264462607348679
Q_V1_V2_illumina_EMU_EMUdb_1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	7	D6300	species	0.113505939084511
Q_V1_V2_illumina_EMU_EMUdb_2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	7	D6300	species	0.187076390698276
Q_V1_V2_illumina_EMU_EMUdb_4_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	7	D6300	species	0.097979099728287
V1_V9_ONT__EMU_EMUdb_I1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	species	0.977070152997634
V1_V9_ONT__EMU_EMUdb_I2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	species	0.965755253672263
V1_V9_ONT__EMU_EMUdb_I3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	species	0.967484893875799
V1_V9_ONT__EMU_EMUdb_I4_D6300	I	I4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	species	0.968999803056606
V1_V9_ONT__EMU_EMUdb_I5_D6300	I	I5	Zymo_D3600	5	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	species	0.978744998576503
V1_V9_ONT__EMU_EMUdb_MN1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	species	0.285016404892688
V1_V9_ONT__EMU_EMUdb_MN3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	species	0.404439024351458
V1_V9_ONT__EMU_EMUdb_MN4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	species	0.358695862974845
V1_V9_ONT__EMU_EMUdb_MN5_D6300	MN	MN4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	species	0.199722756519494
V1_V9_ONT__EMU_EMUdb_Q1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	species	0.220043250973484
V1_V9_ONT__EMU_EMUdb_Q2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	species	0.177516517290101
V1_V9_ONT__EMU_EMUdb_Q3_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	species	0.200735727184917
V1_V9_ONT__EMU_EMUdb_Q4_D6300	Q	Q4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	species	0.217577974952113
V1_V9_ONT__EMU_EMUdb_Q5_D6300	Q	Q5	Zymo_D3600	5	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	species	0.235821076954458
V1_V9_ONT__EMU_EMUdb_Z1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	species	0.497206320733143
V1_V9_ONT__EMU_EMUdb_Z2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	species	0.473180540449856
V1_V9_ONT__EMU_EMUdb_Z3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	species	0.352237260285903
V1_V9_ONT__EMU_EMUdb_Z4_D6300	Z	Z4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	species	0.332918513504
V1_V9_ONT__EMU_EMUdb_Z5_D6300	Z	Z5	Zymo_D3600	5	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	species	0.306326623891302
Z_V1_V2_illumina_EMU_EMUdb_1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	8	D6300	species	0.481372979089546
Z_V1_V2_illumina_EMU_EMUdb_2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	8	D6300	species	0.452726445282025
Z_V1_V2_illumina_EMU_EMUdb_3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	8	D6300	species	0.277444981798446
